baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-sifre-n,dam-lev,jac,lcc_len_char,lcs_str_cahr,id
ref-sifre-n.1.4.78-ref-sifre-n.1.4.94,ref-b.2.4.1.20b.4.4-ref-b.2.4.1.20b.4.12,2214,2294,ref-sifre-n.1.4.78,ref-sifre-n.1.4.94,1330164,1330217,ref-b.2.4.1.20b.4.4,ref-b.2.4.1.20b.4.12,שנפסל בטבול יום שמדליקין אותו בנר שנטמא בטמא מת,שנפסל בטבול יום שמדליקין אותו בנר שנטמא בטמא מת,17,9,238,238.0,31,31.0,0.0,0.0,47,שנפסל בטבול יום שמדליקין אותו בנר שנטמא בטמא מת,5080000015
ref-sifre-n.1.4.75-ref-sifre-n.1.4.89,ref-b.2.4.5.62a.8.9-ref-b.2.4.5.62a.8.21,2200,2265,ref-sifre-n.1.4.75,ref-sifre-n.1.4.89,1475343,1475420,ref-b.2.4.5.62a.8.9,ref-b.2.4.5.62a.8.21,כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל ,טומאה ככל טומאה דאילו איטמי חד מאברים האי דאיטמי שרפינן ליה ואידך אכלינן ,15,13,260,260.0,25,10.0,0.726027397260274,0.9473684210526316,32,טומא טמא  טמ ח מא הא טמ  האד כל ,5080000016
ref-sifre-n.1.4.53-ref-sifre-n.1.4.66,ref-b.2.4.6.66b.13.13-ref-b.2.4.6.66b.13.23,2092,2161,ref-sifre-n.1.4.53,ref-sifre-n.1.4.66,1491192,1491244,ref-b.2.4.6.66b.13.13,ref-b.2.4.6.66b.13.23,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,וכל זב וכל טמא לנפש יאמר טמאי מתים ואל יאמר זבין ,14,11,272,272.0,10,10.0,0.6363636363636364,0.875,30,כל זב ו טמא  מר טמא י ל אמ זב ,5080000017
ref-sifre-n.1.4.53-ref-sifre-n.1.4.66,ref-b.2.4.6.67a.12.14-ref-b.2.4.6.67a.12.25,2092,2161,ref-sifre-n.1.4.53,ref-sifre-n.1.4.66,1492707,1492760,ref-b.2.4.6.67a.12.14,ref-b.2.4.6.67a.12.25,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,וכל זב וכל טמא לנפש יאמר טמאי מת ואל יאמר טמאי זב ,14,12,275,275.0,11,10.0,0.5606060606060606,0.7857142857142857,33,כל זב ו טמא  מר טמאי מא מ טמא זב ,5080000018
ref-sifre-n.1.4.53-ref-sifre-n.1.4.84,ref-b.2.4.6.67a.14.2-ref-b.2.4.6.67a.15.11,2092,2242,ref-sifre-n.1.4.53,ref-sifre-n.1.4.84,1492980,1493121,ref-b.2.4.6.67a.14.2,ref-b.2.4.6.67a.15.11,מת שכן טומאה יוצאה_עליו_מגופו אדרבה טמא מת חמור שכן טעון הזאה_שלישי_ושביעי אמר קרא טמא וכל טמא לרבות טמא שרץ וזב חמור מטמא,חומריה דזב מטמא מת שכן טומאה יוצאה_עליו_מגופו אדרבה טמא מת חמור שכן טעון הזאה_שלישי_ושביעי אמר קרא טמא וכל טמא לרבות טמא שרץ וזב חמור מטמא,32,25,276,276.0,14,14.0,0.11594202898550725,0.0625,122,מת שכן טומאה יוצאה_עליו_מגופו אדרבה טמא מת חמור שכן טעון הזאה_שלישי_ושביעי אמר קרא טמא וכל טמא לרבות טמא שרץ וזב חמור מטמא,5080000019
ref-sifre-n.1.4.53-ref-sifre-n.1.4.68,ref-b.2.4.6.68a.4.5-ref-b.2.4.6.68a.4.14,2092,2171,ref-sifre-n.1.4.53,ref-sifre-n.1.4.68,1494605,1494648,ref-b.2.4.6.68a.4.5,ref-b.2.4.6.68a.4.14,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור ,מכלל זב ובא לכלל טמא מת דהא טמא מת חמור ,16,10,280,280.0,13,10.0,0.6447368421052632,0.8,31,כל זב ובא כל טמא מת א טמא חמור ,5080000020
ref-sifre-n.1.4.78-ref-sifre-n.1.4.86,ref-b.2.5.1.6b.4.4-ref-b.2.5.1.6b.5.10,2214,2253,ref-sifre-n.1.4.78,ref-sifre-n.1.4.86,1693466,1693634,ref-b.2.5.1.6b.4.4,ref-b.2.5.1.6b.5.10,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא ,מטומאת ביתו הפרישהו מטומאת המת אמר_רב_תחליפא אבוה_דרב_הונא משמיה דרבא_זאת_אומרת טומאת המת הותרה היא בציבור רבינא אמר_אפילו_תימא טומאת המת דחויה היא בצבור טומאת ,9,22,339,339.0,26,10.0,0.78125,0.9444444444444444,35,מטמא טמא מת מא מור טמא מת הוא מטמא ,5080000021
ref-sifre-n.1.4.54-ref-sifre-n.1.4.67,ref-b.4.1.2.25b.3.26-ref-b.4.1.2.25b.3.35,2095,2166,ref-sifre-n.1.4.54,ref-sifre-n.1.4.67,4755970,4756021,ref-b.4.1.2.25b.3.26,ref-b.4.1.2.25b.3.35,בזב מטמא במת מפץ שמטמא בזב אינו דין שיטמא במת,בזב מטמא במת מפץ שמטמא בזב אינו דין שיטמא במת,13,10,1608,1607.0,17,17.0,0.0,0.0,45,בזב מטמא במת מפץ שמטמא בזב אינו דין שיטמא במת,5080000022
ref-sifre-n.1.4.79-ref-sifre-n.1.4.86,ref-b.5.1.4.44a.1.8-ref-b.5.1.4.44a.2.13,2219,2253,ref-sifre-n.1.4.79,ref-sifre-n.1.4.86,6934071,6934206,ref-b.5.1.4.44a.1.8,ref-b.5.1.4.44a.2.13,טמא מת מטמא חמור טמא מת שהוא מטמא ,החמורות במיתה הא מטומאת שרץ קאתיא ודיו_לבא_מן_הדין_להיות_כנדון אמר זעירי קלות טומאת שרץ חמורות טומאת מת והכי_קאמר_אילו נאמר טומאת ,8,18,2162,2162.0,32,10.0,0.7538461538461538,0.9411764705882353,32,טמא מת מטמא חמור טמא מת וא מטמא ,5080000023
ref-sifre-n.1.4.55-ref-sifre-n.1.4.67,ref-b.5.1.5.55a.11.7-ref-b.5.1.5.55a.12.7,2101,2166,ref-sifre-n.1.4.55,ref-sifre-n.1.4.67,6965473,6965567,ref-b.5.1.5.55a.11.7,ref-b.5.1.5.55a.12.7,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,מטומאת מצורע וטמא מטומאת זב ואיזה זה זה מחנה ישראל ואימא טהור מטומאת זב וטמא מטומאת מת ,13,17,2182,2182.0,21,10.0,0.5402298850574713,0.8125,43,מטמא מצורע טמא מטמא באה  מא מ מטמא זב מטמא ,5080000024
ref-sifre-n.1.4.54-ref-sifre-n.1.4.60,ref-b.5.7.1.8b.8.17-ref-b.5.7.1.8b.9.5,2095,2134,ref-sifre-n.1.4.54,ref-sifre-n.1.4.60,8377000,8377077,ref-b.5.7.1.8b.8.17,ref-b.5.7.1.8b.9.5,שהזב מטמא מצורע מטמא חמור מצורע שמטמא ,וזבה מטמאה באונס ולא מטמאה בראיות כבימים מצורע ומצורעת נמי חלוקה טומאתן ,7,12,2732,2732.0,15,10.0,0.5972222222222222,0.8571428571428572,30,זב מטמא ו מטמא מור מצורע מטמא ,5080000025
ref-sifre-n.1.4.57-ref-sifre-n.1.4.71,ref-b.5.7.5.21a.18.13-ref-b.5.7.5.21a.19.15,2112,2186,ref-sifre-n.1.4.57,ref-sifre-n.1.4.71,8428024,8428118,ref-b.5.7.5.21a.18.13,ref-b.5.7.5.21a.19.15,מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא ,טמא הוא טומאה חמורה דכוותה גבי בהמה לאחר מיתה אי בשר מטמא טומאה חמורה ואם דם מטמא טומאה חמורה ,15,19,2747,2747.0,23,23.0,0.6382978723404256,0.8421052631578947,45,מטמא חמור ו ביה לא מת א ב מטמא חמורה וא מטמא ,5080000026
ref-sifre-n.1.4.78-ref-sifre-n.1.4.86,ref-b.5.7.5.21a.18.14-ref-b.5.7.5.21a.19.14,2214,2253,ref-sifre-n.1.4.78,ref-sifre-n.1.4.86,8428028,8428112,ref-b.5.7.5.21a.18.14,ref-b.5.7.5.21a.19.14,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא ,הוא טומאה חמורה דכוותה גבי בהמה לאחר מיתה אי בשר מטמא טומאה חמורה ואם דם מטמא טומאה ,9,17,2748,2747.0,27,27.0,0.6547619047619048,0.6666666666666667,30,א טמא מת מ חמר טמא מ הוא מטמא ,5080000027
ref-sifre-n.1.4.57-ref-sifre-n.1.4.67,ref-b.6.7.4.33a.4.4-ref-b.6.7.4.33a.4.19,2112,2166,ref-sifre-n.1.4.57,ref-sifre-n.1.4.67,8619126,8619206,ref-b.6.7.4.33a.4.4,ref-b.6.7.4.33a.4.19,מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,מטומאה חמורה דלא מטמא אדם_לטמא_בגדים אבל אדם או בגדים ליטמא אמר קרא יטמא טומאה ,11,14,2789,2789.0,22,10.0,0.6075949367088608,0.8888888888888888,35,מטמא חמור  מטמא בי ל טמא מ טמא טמא ,5080000028
ref-sifre-n.1.4.78-ref-sifre-n.1.4.88,ref-b.6.7.4.33a.10.7-ref-b.6.7.4.33a.10.25,2214,2262,ref-sifre-n.1.4.78,ref-sifre-n.1.4.88,8619741,8619846,ref-b.6.7.4.33a.10.7,ref-b.6.7.4.33a.10.25,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם ,מטומאה חמורה והביאו לטומאה קלה דלא ליטמא אדם לטמויי בגדים אבל אדם ובגדים ליטמא אמר_רב_אסי יטמא טומאה ,11,17,2792,2792.0,28,10.0,0.7128712871287128,0.7142857142857143,31,מטמא מא מ טמא  טמא  וא מטמא אה ,5080000029
ref-sifre-n.1.5.98-ref-sifre-n.1.5.104,ref-b.3.4.9.61b.1.12-ref-b.3.4.9.61b.1.18,2820,2859,ref-sifre-n.1.5.98,ref-sifre-n.1.5.104,3889868,3889907,ref-b.3.4.9.61b.1.12,ref-b.3.4.9.61b.1.18,ואיש אשר יטמא ולא יתחטא ונכרתה הנפש ,ואיש אשר יטמא ולא יתחטא ונכרתה הנפש ,7,7,1218,1218.0,36,36.0,0.0,0.0,36,ואיש אשר יטמא ולא יתחטא ונכרתה הנפש ,5080000030
ref-sifre-n.1.5.278-ref-sifre-n.1.5.285,ref-b.2.10.1.8b.1.5-ref-b.2.10.1.8b.1.10,3743,3787,ref-sifre-n.1.5.278,ref-sifre-n.1.5.285,2524276,2524314,ref-b.2.10.1.8b.1.5,ref-b.2.10.1.8b.1.10,תוכיח שאינה מטמא על גבי מושב ומשכב וטעונה ,תוכיח שמטמאה משכב ומושב ואינה טעונה ,8,6,651,651.0,37,37.0,0.40476190476190477,0.6,28,תוכיח שמטמא משב ומשב וטעונה ,5080000031
ref-sifre-n.1.7.38-ref-sifre-n.1.7.47,ref-b.2.4.6.68a.7.14-ref-b.2.4.6.68a.7.27,4407,4459,ref-sifre-n.1.7.38,ref-sifre-n.1.7.47,1494990,1495055,ref-b.2.4.6.68a.7.14,ref-b.2.4.6.68a.7.27,אמרו ג' מחנות הם מחנה ישראל ומחנה לויה ומחנה שכינה ,אימא מחוץ למחנה זו מחנה לויה לא_יבא_אל תוך המחנה זו מחנה שכינה ,10,12,281,281.0,40,38.0,0.49206349206349204,0.6923076923076923,37,אמ מחו ה מחנה יאל ומחנה ו מחנה שכינה ,5080000032
ref-sifre-n.1.7.36-ref-sifre-n.1.7.54,ref-b.5.1.14.116b.14.17-ref-b.5.1.14.116b.15.5,4395,4496,ref-sifre-n.1.7.36,ref-sifre-n.1.7.54,7126578,7126668,ref-b.5.1.14.116b.14.17,ref-b.5.1.14.116b.15.5,מירושלים להר הבית מחנה ישראל מהר הבית לשער נקנור מחנה לויה מכאן ואילך מחנה שכינה והן,מירושלים להר הבית מחנה ישראל מהר הבית לשער נקנור מחנה לויה מכאן ואילך מחנה שכינה והן,19,16,2265,2265.0,38,38.0,0.0,0.0,84,מירושלים להר הבית מחנה ישראל מהר הבית לשער נקנור מחנה לויה מכאן ואילך מחנה שכינה והן,5080000033
ref-sifre-n.1.7.84-ref-sifre-n.1.7.102,ref-b.2.1.2.33a.4.14-ref-b.2.1.2.33a.4.28,4644,4738,ref-sifre-n.1.7.84,ref-sifre-n.1.7.102,462826,462895,ref-b.2.1.2.33a.4.14,ref-b.2.1.2.33a.4.28,השוכן אתם בתוך טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא את הארץ אשר אתם יושבים בה ,ולא תטמא את הארץ אשר אתם יושבים בה אשר אני שוכן בתוכה הא אתם מטמאים ,19,15,98,93.0,43,41.0,0.6555555555555556,0.375,39,וא תטמא א א א את ים  אר א  תה א אתם ים ,5080000034
ref-sifre-n.1.7.77-ref-sifre-n.1.7.87,ref-b.2.5.5.56b.15.25-ref-b.2.5.5.56b.15.33,4606,4666,ref-sifre-n.1.7.77,ref-sifre-n.1.7.87,1845460,1845511,ref-b.2.5.5.56b.15.25,ref-b.2.5.5.56b.15.33,שהם טמאים שכינה ביניהם וכן_הוא_אומר השוכן אתם בתוך טומאתם ,השוכן אתם בתוך טומאתם אפילו בשעת שהן טמאים שכינה ,9,9,417,417.0,41,41.0,0.7586206896551724,0.5454545454545454,22,השוכן אתם בתוך טומאתם ,5080000035
ref-sifre-n.1.7.77-ref-sifre-n.1.7.87,ref-b.2.5.5.57a.1.15-ref-b.2.5.5.57a.1.25,4606,4666,ref-sifre-n.1.7.77,ref-sifre-n.1.7.87,1845617,1845681,ref-b.2.5.5.57a.1.15,ref-b.2.5.5.57a.1.25,שהם טמאים שכינה ביניהם וכן_הוא_אומר השוכן אתם בתוך טומאתם ,השוכן אתם בתוך טומאתם אפילו בזמן שהן טמאין שכינה שרויה ביניהן ,9,11,419,419.0,42,41.0,0.7741935483870968,0.7142857142857143,22,השוכן אתם בתוך טומאתם ,5080000036
ref-sifre-n.1.7.85-ref-sifre-n.1.7.90,ref-b.5.3.1.24b.13.1-ref-b.5.3.1.24b.13.22,4651,4684,ref-sifre-n.1.7.85,ref-sifre-n.1.7.90,7553376,7553480,ref-b.5.3.1.24b.13.1,ref-b.5.3.1.24b.13.22,אתם בתוך טומאתם ואומר ולא יטמאו ,"אתה אומר אע""פ שלא נגע או_אינו_אלא_אם_כן נגע רבי_יונתן_בן אבטולמוס אומר נאמר תוכו לטמא ונאמר תוכו ליטמא ",6,16,2542,2542.0,44,41.0,0.7669902912621359,0.9375,25,אתם בו טומואומר ולא יטמא ,5080000037
ref-sifre-n.1.7.86-ref-sifre-n.1.7.98,ref-b.5.3.4.71a.24.13-ref-b.5.3.4.71a.24.18,4655,4720,ref-sifre-n.1.7.86,ref-sifre-n.1.7.98,7701234,7701269,ref-b.5.3.4.71a.24.13,ref-b.5.3.4.71a.24.18,בתוך טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא את הארץ ,שבתוכו מלטמא דאמר מר טומאה רצוצה ,13,6,2577,2577.0,45,41.0,0.6935483870967742,0.8461538461538461,23,בתוו מלטמא אמ מר טמאהר ,5080000038
ref-sifre-n.2.1.32-ref-sifre-n.2.1.39,ref-b.3.2.4.42a.9.15-ref-b.3.2.4.42a.9.22,5454,5488,ref-sifre-n.2.1.32,ref-sifre-n.2.1.39,3378098,3378133,ref-b.3.2.4.42a.9.15,ref-b.3.2.4.42a.9.22,או מצא אבדה וכחש בה ונשבע על שקר ,או מצא אבידה וכחש בה ונשבע על שקר ,8,8,889,889.0,46,46.0,0.029411764705882353,0.0,33,או מצא אבדה וכחש בה ונשבע על שקר ,5080000039
ref-sifre-n.2.1.66-ref-sifre-n.2.1.75,ref-b.4.1.9.104b.7.4-ref-b.4.1.9.104b.7.16,5611,5667,ref-sifre-n.2.1.66,ref-sifre-n.2.1.75,5029603,5029676,ref-b.4.1.9.104b.7.4,ref-b.4.1.9.104b.7.16,גוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם ,הגוזל את חבירו ונשבע לו ומת יורשין משלמים קרן וחומש ופטורין מן האשם ,10,13,1637,1637.0,47,47.0,0.38235294117647056,0.5625,42,גוזל ר ונשבע לו ומת שישלם קרן וחומש י אשם ,5080000040
ref-sifre-n.2.1.110-ref-sifre-n.2.1.149,ref-b.4.1.4.42b.14.22-ref-b.4.1.4.42b.15.7,5832,6009,ref-sifre-n.2.1.110,ref-sifre-n.2.1.149,4814406,4814466,ref-b.4.1.4.42b.14.22,ref-b.4.1.4.42b.15.7,כי יגח שור את איש או את אשה אלא להקיש אשה לאיש מה איש נזקיו,כי יגח שור את איש או את אשה אלא להקיש אשה לאיש מה איש נזקיו,26,15,1619,1619.0,48,48.0,0.0,0.0,59,כי יגח שור את איש או את אשה אלא להקיש אשה לאיש מה איש נזקיו,5080000041
ref-sifre-n.2.1.124-ref-sifre-n.2.1.132,ref-b.4.1.6.55b.11.1-ref-b.4.1.6.55b.11.11,5892,5928,ref-sifre-n.2.1.124,ref-sifre-n.2.1.132,4860293,4860338,ref-b.4.1.6.55b.11.1,ref-b.4.1.6.55b.11.11,כי יפתח איש בור או כי יכרה איש בור דכתיב כי יפתח איש בור או כי יכרה איש בור,בור דכתיב כי יפתח איש בור או כי יכרה איש בור,9,11,1624,1624.0,50,50.0,0.41333333333333333,0.0,44,בור דכתיב כי יפתח איש בור או כי יכרה איש בור,5080000042
ref-sifre-n.2.1.157-ref-sifre-n.2.1.166,ref-b.4.1.6.60b.13.17-ref-b.4.1.6.60b.13.25,6047,6099,ref-sifre-n.2.1.157,ref-sifre-n.2.1.166,4876783,4876827,ref-b.4.1.6.60b.13.17,ref-b.4.1.6.60b.13.25,"שלם ישלם המבעיר את הבערה אמר הקב""ה עלי לשלם","שלם ישלם המבעיר את הבערה אמר הקב""ה עלי לשלם",10,8,1627,1627.0,52,52.0,0.0,0.0,43,"שלם ישלם המבעיר את הבערה אמר הקב""ה עלי לשלם",5080000043
ref-sifre-n.2.1.212-ref-sifre-n.2.1.230,ref-b.3.1.12.102a.11.5-ref-b.3.1.12.102a.11.13,6315,6420,ref-sifre-n.2.1.212,ref-sifre-n.2.1.230,3181271,3181318,ref-b.3.1.12.102a.11.5,ref-b.3.1.12.102a.11.13,למעל מעל אין מעילה בכל_מקום_אלא שיקור וכן_הוא_אומר וימעלו באלהי אבותיהם ואומר וימעלו בני ישראל מעל ,מעל וארקתא מעל דמעל והתורה אמרה מעל ולא מעל ,15,9,853,853.0,54,54.0,0.6868686868686869,0.8666666666666667,33,מעל וארא מעל ל ותה אמר מעל ל מעל ,5080000044
ref-sifre-n.2.1.245-ref-sifre-n.2.1.253,ref-b.3.4.4.26b.1.20-ref-b.3.4.4.26b.2.18,6495,6537,ref-sifre-n.2.1.245,ref-sifre-n.2.1.253,3821351,3821501,ref-b.3.4.4.26b.1.20,ref-b.3.4.4.26b.2.18,ומועלין בכולן ואין מועלין במקצתן אלו לעולתי והשאר לשאר נזירותי דמי עולה יביאו עולה ומועלין בהן והשאר יפלו לנדבה ומועלין בכולן ואין מועלין,ומועלין בכולן ואין מועלין במקצתן אלו לעולתי והשאר לשאר נזירותי דמי עולה יביאו עולה ומועלין בהן והשאר יפלו לנדבה ומועלין בכולן ואין מועלין,9,16,1078,1078.0,61,61.0,0.0,0.0,137,ומועלין בכולן ואין מועלין במקצתן אלו לעולתי והשאר לשאר נזירותי דמי עולה יביאו עולה ומועלין בהן והשאר יפלו לנדבה ומועלין בכולן ואין מועלין,5080000045
