baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-t,dam-lev,jac,id
ref-t.1.1.6.1.44-ref-t.1.1.6.1.53,ref-sifre-d.143.10.46-ref-sifre-d.144.1.10,27451,27497,ref-t.1.1.6.1.44,ref-t.1.1.6.1.53,174107,174188,ref-sifre-d.143.10.46,ref-sifre-d.144.1.10,"כברכת ה' א להיך אשר נתן לך שופטים ושטרים תתן לך מנין שממנים ב""ד לכל ישראל ת""ל","כברכת ה' א להיך אשר נתן לך שופטים ושטרים תתן לך מנין שממנים ב""ד לכל ישראל ת""ל",10,12,576,576.0,14,14.0,0.0,0.0,2060000011
ref-t.1.1.6.1.68-ref-t.1.1.6.1.74,ref-sifre-d.143.10.50-ref-sifre-d.144.2.14,27567,27597,ref-t.1.1.6.1.68,ref-t.1.1.6.1.74,174124,174322,ref-sifre-d.143.10.50,ref-sifre-d.144.2.14,ת'ל אשר נתן לך ואו' ואתנה לך ,"אשר נתן לך שופטים ושטרים תתן לך מנין שממנים ב""ד לכל ישראל ת""ל שופטים תתן לך ומנין שממנים שוטרים לכל ישראל ת""ל שוטרים תתן לך רבי יהודה אומר מנין שממנים אחד על גבי כולם תלמוד לומר תתן לך ואומר ",7,39,578,576.0,16,16.0,0.8743455497382199,0.8695652173913043,2060000012
ref-t.1.1.6.1.103-ref-t.1.1.6.1.108,ref-sifre-d.32.7.17-ref-sifre-d.32.7.22,27729,27762,ref-t.1.1.6.1.103,ref-t.1.1.6.1.108,41539,41574,ref-sifre-d.32.7.17,ref-sifre-d.32.7.22,בין במדת הטוב בין במדת פורענות ,בין במדת הטוב בין במדת הפורענות ,6,6,72,70.0,17,17.0,0.03125,0.0,2060000013
ref-t.1.1.6.7.11-ref-t.1.1.6.7.32,ref-sifre-d.32.3.1-ref-sifre-d.32.5.14,29434,29547,ref-t.1.1.6.7.11,ref-t.1.1.6.7.32,40972,41127,ref-sifre-d.32.3.1,ref-sifre-d.32.5.14,בכל לבבך בשני יצריך ביצר טוב וביצר רע ובכל נפשך ואפי' הוא נוטל את נפשך וכן הוא או' כי עליך הורגנו כל היום ,"בכל לבבך בשני יצריך ביצר טוב ויצר רע ד""א בכל לבבך שלא יהיה לבך חלוק על המקום ובכל נפשך אפילו הוא נוטל את נפשך וכן הוא אומר כי עליך הורגנו כל היום ",23,32,66,66.0,18,18.0,0.3150684931506849,0.40740740740740744,2060000014
ref-t.1.1.6.7.36-ref-t.1.1.6.7.58,ref-sifre-d.32.5.34-ref-sifre-d.32.6.29,29556,29664,ref-t.1.1.6.7.36,ref-t.1.1.6.7.58,41218,41395,ref-sifre-d.32.5.34,ref-sifre-d.32.6.29,אומר בכל נפשך אוהבהו עד מיצוי הנפש רבי אליעזר בן יעקב אומר אם נאמר בכל נפשך למה נאמר בכל מאדך ואם נאמר בכל מאדך למה נאמר בכל נפשך יש לך שגופו חביב עליו מממונו לכך נאמר,אומר בכל נפשך אוהבהו עד מיצוי הנפש רבי אליעזר בן יעקב אומר אם נאמר בכל נפשך למה נאמר בכל מאדך ואם נאמר בכל מאדך למה נאמר בכל נפשך יש לך שגופו חביב עליו מממונו לכך נאמר,23,22,67,67.0,19,19.0,0.0,0.0,2060000015
ref-t.1.1.6.8.35-ref-t.1.1.6.8.43,ref-sifre-d.8.1.112-ref-sifre-d.8.1.117,30030,30082,ref-t.1.1.6.8.35,ref-t.1.1.6.8.43,12406,12439,ref-sifre-d.8.1.112,ref-sifre-d.8.1.117,ויזרע יצחק בארץ ההיא וימצא בשנה ההיא מאה שערים ,ויזרע יצחק בשנה ההיא מאה שערים ,9,6,18,18.0,21,21.0,0.3404255319148936,0.33333333333333337,2060000016
ref-t.1.1.6.25.11-ref-t.1.1.6.25.32,ref-sifre-d.36.9.5-ref-sifre-d.36.9.24,34221,34353,ref-t.1.1.6.25.11,ref-t.1.1.6.25.32,52653,52771,ref-sifre-d.36.9.5,ref-sifre-d.36.9.24,מצות מקיפות אותו תפלין בראשו תפלין בזרועו מזוזה בפתחו וארבע ציציות מקיפות אותו ועליהן אמ' דוד שבע ביום הללתיך וגו' נכנס למרחץ ,במצות תפילין בראש ותפילין בזרוע מזוזה בפתחיהם ציצית על ד' כנפות כסותך ועליה אמר דוד שבע ביום הללתיך נכנס למרחץ ,22,20,94,94.0,22,22.0,0.3412698412698413,0.6296296296296297,2060000017
ref-t.1.2.1.2.32-ref-t.1.2.1.2.39,ref-sifre-d.324.2.40-ref-sifre-d.324.2.50,34742,34775,ref-t.1.2.1.2.32,ref-t.1.2.1.2.39,339201,339252,ref-sifre-d.324.2.40,ref-sifre-d.324.2.50,פירות שנ' אמרו צדיק כי טוב כי פרי ,ופרי פירות וכן הוא אומר אמרו לצדיק כי טוב כי פרי ,8,11,1156,1156.0,23,23.0,0.3673469387755102,0.33333333333333337,2060000018
ref-t.1.2.1.8.53-ref-t.1.2.1.8.57,ref-sifre-d.282.1.7-ref-sifre-d.282.1.11,36811,36836,ref-t.1.2.1.8.53,ref-t.1.2.1.8.57,265142,265169,ref-sifre-d.282.1.7,ref-sifre-d.282.1.11,נמלים שברתה הרוח או בהמה ,נמלים ושברתו הרוח או בהמה ,5,5,966,966.0,24,24.0,0.07692307692307693,0.0,2060000019
ref-t.1.2.1.11.7-ref-t.1.2.1.11.14,ref-sifre-d.282.2.13-ref-sifre-d.282.2.21,37402,37444,ref-t.1.2.1.11.7,ref-t.1.2.1.11.14,265238,265289,ref-sifre-d.282.2.13,ref-sifre-d.282.2.21,שדהו פטור מן הלקט ומן השכחה ומן הפיאה ,"שדהו ואח""כ נתגייר פטור מן הלקט ומן השכחה והפאה ",8,9,967,967.0,25,25.0,0.3617021276595745,0.2222222222222222,2060000020
ref-t.1.2.2.10.20-ref-t.1.2.2.10.26,ref-sifre-d.282.2.16-ref-sifre-d.282.2.21,39118,39152,ref-t.1.2.2.10.20,ref-t.1.2.2.10.26,265257,265289,ref-sifre-d.282.2.16,ref-sifre-d.282.2.21,פטור מן הלקט מן השכחה ומן הפאה ,פטור מן הלקט ומן השכחה והפאה ,7,6,968,967.0,26,26.0,0.12903225806451613,0.0,2060000021
ref-t.1.2.3.1.115-ref-t.1.2.3.1.121,ref-sifre-d.282.4.14-ref-sifre-d.282.4.21,41490,41534,ref-t.1.2.3.1.115,ref-t.1.2.3.1.121,265773,265820,ref-sifre-d.282.4.14,ref-sifre-d.282.4.21,העומר ששכחוהו פועלין אין שכחה עד שישכחוהו ,העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו ,7,8,970,970.0,27,27.0,0.29545454545454547,0.5,2060000022
ref-t.1.2.3.1.115-ref-t.1.2.3.1.121,ref-sifre-d.283.3.19-ref-sifre-d.283.3.30,41490,41534,ref-t.1.2.3.1.115,ref-t.1.2.3.1.121,266497,266568,ref-sifre-d.283.3.19,ref-sifre-d.283.3.30,ושכחו מודים שאין שכחה העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו,ושכחו מודים שאין שכחה העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו,7,7,981,981.0,28,28.0,0.0,0.0,2060000023
ref-t.1.2.3.2.39-ref-t.1.2.3.2.60,ref-sifre-d.283.3.14-ref-sifre-d.283.3.23,41889,42006,ref-t.1.2.3.2.39,ref-t.1.2.3.2.60,266463,266527,ref-sifre-d.283.3.14,ref-sifre-d.283.3.23,שהחזיקו בו להוליכו לעיר ושכחו מודים שאין שכחה העומר,והעומר שהחזיקו בו להוליכו לעיר ושכחו מודים שאין שכחה העומר,17,9,978,978.0,30,30.0,0.1206896551724138,0.0,2060000024
ref-t.1.2.3.3.1-ref-t.1.2.3.3.17,ref-sifre-d.283.3.14-ref-sifre-d.283.3.22,42125,42222,ref-t.1.2.3.3.1,ref-t.1.2.3.3.17,266463,266520,ref-sifre-d.283.3.14,ref-sifre-d.283.3.22,העומר שהחזיק בו להוליכו לעיר ונתנו על גב חבירו ושכח את שניהם התחתון שכחה והעליון אינה שכחה ,והעומר שהחזיקו בו להוליכו לעיר ושכחו מודים שאין שכחה ,17,9,979,976.0,32,32.0,0.5274725274725275,0.6875,2060000025
ref-t.1.2.3.4.5-ref-t.1.2.3.4.16,ref-sifre-d.283.3.11-ref-sifre-d.283.3.27,42322,42385,ref-t.1.2.3.4.5,ref-t.1.2.3.4.16,266442,266553,ref-sifre-d.283.3.11,ref-sifre-d.283.3.27,העומר שכנגדו יוכיח והעומר שהחזיקו בו להוליכו לעיר ושכחו מודים שאין שכחה העומר ששכחוהו פועלים ולא שכחו,העומר שכנגדו יוכיח והעומר שהחזיקו בו להוליכו לעיר ושכחו מודים שאין שכחה העומר ששכחוהו פועלים ולא שכחו,12,12,976,976.0,33,33.0,0.0,0.0,2060000026
ref-t.1.2.3.5.6-ref-t.1.2.3.5.33,ref-sifre-d.283.1.19-ref-sifre-d.283.1.38,42534,42673,ref-t.1.2.3.5.6,ref-t.1.2.3.5.33,266002,266100,ref-sifre-d.283.1.19,ref-sifre-d.283.1.38,שני עומרים שכחה ג' אינם שכחה שני צבורי זיתים וחרובין שכחה,שני עומרים שכחה ג' אינם שכחה שני צבורי זיתים וחרובין שכחה,10,11,971,971.0,35,35.0,0.0,0.0,2060000027
ref-t.1.2.3.6.20-ref-t.1.2.3.6.35,ref-sifre-d.283.2.15-ref-sifre-d.283.2.31,43201,43274,ref-t.1.2.3.6.20,ref-t.1.2.3.6.35,266177,266254,ref-sifre-d.283.2.15,ref-sifre-d.283.2.31,קמה שהורע כח עני בה הרי היא מצלת את העומר עומר שייפה כח עני בו אינו דין ,הקמה שהיה בדין ומה עומר שהורע כח עני יש לו שכחה קמה שיפה כח עני בה אינו דין ,17,18,974,974.0,38,38.0,0.5131578947368421,0.4285714285714286,2060000028
ref-t.1.2.3.6.47-ref-t.1.2.3.6.59,ref-sifre-d.283.2.19-ref-sifre-d.283.2.30,43320,43379,ref-t.1.2.3.6.47,ref-t.1.2.3.6.59,266197,266245,ref-sifre-d.283.2.19,ref-sifre-d.283.2.30,העומר שהרי ייפה כח עני בו יציל את הקמה שהרי ייפה כח עני ,עומר שהורע כח עני יש לו שכחה קמה שיפה כח עני בה ,13,12,975,974.0,39,39.0,0.4642857142857143,0.6666666666666667,2060000029
ref-t.1.2.3.7.13-ref-t.1.2.3.7.27,ref-sifre-d.282.2.18-ref-sifre-d.282.2.27,43444,43517,ref-t.1.2.3.7.13,ref-t.1.2.3.7.27,265265,265322,ref-sifre-d.282.2.18,ref-sifre-d.282.2.27,לקט שכחה ופיאה מה שאין כן בעומר העומר שיש בו סאתים ושכחו אין זו שכחה ,הלקט ומן השכחה והפאה ר' יהודה מחייב בשכחה שאין שכחה ,15,10,969,967.0,40,40.0,0.5942028985507246,0.7857142857142857,2060000030
ref-t.1.2.3.7.19-ref-t.1.2.3.7.27,ref-sifre-d.283.4.16-ref-sifre-d.283.4.22,43471,43517,ref-t.1.2.3.7.19,ref-t.1.2.3.7.27,266726,266762,ref-sifre-d.283.4.16,ref-sifre-d.283.4.22,בעומר העומר שיש בו סאתים ושכחו אין זו שכחה ,העומר שיש בו סאתים ושכחו אין שכחה ,9,7,983,983.0,41,40.0,0.20930232558139536,0.19999999999999996,2060000031
ref-t.1.2.3.7.21-ref-t.1.2.3.7.27,ref-sifre-d.284.6.31-ref-sifre-d.284.6.36,43485,43517,ref-t.1.2.3.7.21,ref-t.1.2.3.7.27,268223,268253,ref-sifre-d.284.6.31,ref-sifre-d.284.6.36,שיש בו סאתים ושכחו אין זו שכחה ,שיש בו סאתים ושכחו אינו שכחה ,7,6,994,994.0,42,40.0,0.0967741935483871,0.4,2060000032
ref-t.1.2.3.8.94-ref-t.1.2.3.8.107,ref-sifre-d.252.2.29-ref-sifre-d.252.2.41,44026,44101,ref-t.1.2.3.8.94,ref-t.1.2.3.8.107,247287,247356,ref-sifre-d.252.2.29,ref-sifre-d.252.2.41,אם מי שלא נתכוין לזכות וזכה מעלה עליו הכתוב כאלו זכה המתכון לזכות,אם מי שלא נתכוין לזכות וזכה מעלה עליו הכתוב כאלו זכה המתכון לזכות,14,12,852,852.0,43,43.0,0.0,0.0,2060000033
ref-t.1.2.3.8.95-ref-t.1.2.3.8.107,ref-sifre-d.283.6.23-ref-sifre-d.283.6.53,44029,44101,ref-t.1.2.3.8.95,ref-t.1.2.3.8.107,267514,267675,ref-sifre-d.283.6.23,ref-sifre-d.283.6.53,"מעלה עליו הכתוב כאלו זכה ת""ל לגר ליתום ולאלמנה יהיה למען יברכך ה' א להיך והרי דברים ק""ו מי שלא נתכוין לזכות וזכה מעלה עליו הכתוב כאלו זכה מי שנתכוין לזכות","מעלה עליו הכתוב כאלו זכה ת""ל לגר ליתום ולאלמנה יהיה למען יברכך ה' א להיך והרי דברים ק""ו מי שלא נתכוין לזכות וזכה מעלה עליו הכתוב כאלו זכה מי שנתכוין לזכות",13,30,984,984.0,45,45.0,0.0,0.0,2060000034
ref-t.1.2.3.8.129-ref-t.1.2.3.8.140,ref-sifre-d.252.2.29-ref-sifre-d.252.2.40,44200,44262,ref-t.1.2.3.8.129,ref-t.1.2.3.8.140,247287,247350,ref-sifre-d.252.2.29,ref-sifre-d.252.2.40,אם מי שלא נתכוון לחטוא ולא חטא מעלין עליו כאילו חטא המתכון ,אם מי שלא נתכוין לזכות וזכה מעלה עליו הכתוב כאלו זכה המתכון ,12,12,853,852.0,47,47.0,0.35,0.5,2060000035
ref-t.1.2.3.8.130-ref-t.1.2.3.8.138,ref-sifre-d.283.6.41-ref-sifre-d.283.6.49,44203,44250,ref-t.1.2.3.8.130,ref-t.1.2.3.8.138,267605,267653,ref-sifre-d.283.6.41,ref-sifre-d.283.6.49,מי שלא נתכוון לחטוא ולא חטא מעלין עליו כאילו ,מי שלא נתכוין לזכות וזכה מעלה עליו הכתוב כאלו ,9,9,986,984.0,48,47.0,0.391304347826087,0.625,2060000036
ref-t.1.2.3.9.23-ref-t.1.2.3.10.11,ref-sifre-d.284.1.20-ref-sifre-d.284.2.4,44400,44497,ref-t.1.2.3.9.23,ref-t.1.2.3.10.11,267790,267851,ref-sifre-d.284.1.20,ref-sifre-d.284.2.4,שלש שורות של שני מלבנין נשכחו אינן שכחה זיתך פרט לאחרים זיתך,שלש שורות של שני מלבנין נשכחו אינן שכחה זיתך פרט לאחרים זיתך,19,12,987,987.0,49,49.0,0.0,0.0,2060000037
ref-t.1.2.3.9.23-ref-t.1.2.3.10.11,ref-sifre-d.284.6.34-ref-sifre-d.284.6.47,44400,44497,ref-t.1.2.3.9.23,ref-t.1.2.3.10.11,268237,268307,ref-sifre-d.284.6.34,ref-sifre-d.284.6.47,ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין,ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין ושכחו אינו,19,14,996,995.0,50,50.0,0.40707964601769914,0.0,2060000038
ref-t.1.2.3.11.13-ref-t.1.2.3.11.34,ref-sifre-d.285.2.2-ref-sifre-d.285.2.22,44657,44750,ref-t.1.2.3.11.13,ref-t.1.2.3.11.34,268429,268518,ref-sifre-d.285.2.2,ref-sifre-d.285.2.22,העוללות אי זו היא עוללות כל שאין לה לא כתף ולא נטף יש לה כתף ואין לה נטף נטף ואין לה כתף ,תעולל איזו היא עוללות כל שאין לו לא כתף ולא נטף יש לה כתף ואין לה נטף נטף ואין לה כתף ,22,21,998,997.0,53,53.0,0.056179775280898875,0.1428571428571429,2060000039
ref-t.1.2.3.13.3-ref-t.1.2.3.14.8,ref-sifre-d.285.1.19-ref-sifre-d.285.2.5,45106,45202,ref-t.1.2.3.13.3,ref-t.1.2.3.14.8,268410,268450,ref-sifre-d.285.1.19,ref-sifre-d.285.2.5,כרמו לא יקדיש את העוללות שאין אדם מקדיש דבר שאינו שלו בן לוי שנתמנו לו ענבים והיו בו עוללות ,וכרמך לא תעולל לא תעולל איזו היא עוללות ,19,8,997,997.0,54,54.0,0.6739130434782609,0.9333333333333333,2060000040
ref-t.1.2.3.16.4-ref-t.1.2.3.16.17,ref-sifre-d.285.3.15-ref-sifre-d.285.3.31,45376,45461,ref-t.1.2.3.16.4,ref-t.1.2.3.16.17,268630,268734,ref-sifre-d.285.3.15,ref-sifre-d.285.3.31,שכחה בעריסין גדולים כל שאין יכול לפשוט את ידו וליטלה בעריסין קטנים משיעבר הימנו ,שכחה בעריס גפן כסוכה כל שאינו יכול לפשוט את ידו לאחור וליטלה וברגליותסרוחה על הארץ משיעבור הימנה ,14,17,999,999.0,55,55.0,0.36082474226804123,0.5,2060000041
ref-t.1.2.4.2.3-ref-t.1.2.4.2.12,ref-sifre-d.110.3.11-ref-sifre-d.110.3.18,45851,45898,ref-t.1.2.4.2.3,ref-t.1.2.4.2.12,149918,149957,ref-sifre-d.110.3.11,ref-sifre-d.110.3.18,לעני בשעת מעשר שני מחצי קב חטין או קב שעורין ,לעני בגורן מחצי קב חטים או קב שעורים ,10,8,444,444.0,56,56.0,0.28888888888888886,0.4444444444444444,2060000042
ref-t.1.2.4.2.3-ref-t.1.2.4.2.12,ref-sifre-d.303.2.12-ref-sifre-d.303.2.19,45851,45898,ref-t.1.2.4.2.3,ref-t.1.2.4.2.12,288870,288909,ref-sifre-d.303.2.12,ref-sifre-d.303.2.19,לעני בשעת מעשר שני מחצי קב חטין או קב שעורין ,לעני בגורן מחצי קב חטים או קב שעורים ,10,8,1103,1103.0,57,56.0,0.28888888888888886,0.4444444444444444,2060000043
ref-t.1.2.4.10.36-ref-t.1.2.4.10.48,ref-sifre-d.117.8.7-ref-sifre-d.117.8.21,47741,47801,ref-t.1.2.4.10.36,ref-t.1.2.4.10.48,155555,155634,ref-sifre-d.117.8.7,ref-sifre-d.117.8.21,מילת נותנין לו כלי מילת מעה נותנין לו מאה מעה עיסה נותנין לו ,ליתן ונתן נותנים לו שכר אמירה ושכר מעשה אמר ליתן ולא הספיק בידו ליתן נותנים ,13,15,488,484.0,58,58.0,0.5789473684210527,0.8181818181818181,2060000044
ref-t.1.2.4.10.36-ref-t.1.2.4.10.60,ref-sifre-d.118.3.10-ref-sifre-d.118.3.37,47741,47861,ref-t.1.2.4.10.36,ref-t.1.2.4.10.60,156152,156284,ref-sifre-d.118.3.10,ref-sifre-d.118.3.37,לתת לו פת נותנים לו פת הראוי לתת לו עסה נותנים לו עסה הראוי לתת לו מעה נותנים לו מעה הראוי להאכילו בתוך פיו מאכילים אותו בתוך פיו,לתת לו פת נותנים לו פת הראוי לתת לו עסה נותנים לו עסה הראוי לתת לו מעה נותנים לו מעה הראוי להאכילו בתוך פיו מאכילים אותו בתוך פיו,25,28,490,490.0,59,59.0,0.0,0.0,2060000045
ref-t.1.2.4.10.71-ref-t.1.2.4.10.105,ref-sifre-d.116.17.8-ref-sifre-d.116.19.9,47906,48089,ref-t.1.2.4.10.71,ref-t.1.2.4.10.105,154618,154815,ref-sifre-d.116.17.8,ref-sifre-d.116.19.9,לו זו אשה כעניין שנאמר אעשה לו עזר כנגדו,ומעשה בהלל הזקן שנתן לעני בן טובים סוס אחד שהיה מתעמל בו ועבד אחד שהוא משמשו שוב מעשה בגליל העליון שהיו מעלים לאדם ליטרא בשר של ציפור בכל יום לו זו אשה כעניין שנאמר אעשה לו עזר כנגדו,8,38,475,474.0,61,61.0,0.7802197802197802,0.7586206896551724,2060000046
ref-t.1.2.4.11.21-ref-t.1.2.4.11.26,ref-sifre-d.303.3.9-ref-sifre-d.303.3.14,48207,48241,ref-t.1.2.4.11.21,ref-t.1.2.4.11.26,288985,289020,ref-sifre-d.303.3.9,ref-sifre-d.303.3.14,אמרו משפחת בית נבטלה היתה בירושלם ,אמרו משפחות בית נבטלה היתה בירושלם ,6,6,1104,1104.0,64,64.0,0.02857142857142857,0.33333333333333337,2060000047
