baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-sifre-d,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-sifre-d.1.20.159-ref-sifre-d.1.20.169,ref-b.2.4.8.88a.3.1-ref-b.2.4.8.88a.3.18,5419,5477,ref-sifre-d.1.20.159,ref-sifre-d.1.20.169,1573128,1573214,ref-b.2.4.8.88a.3.1,ref-b.2.4.8.88a.3.18,ואומר והלכו עמים רבים ואמרו לכו ונעלה אל בית אלהי יעקב ,ואמר רבי_אלעזר_מאי_דכתיב והלכו עמים רבים ואמרו לכו ונעלה אל הר ה' אל בית אלהי יעקב ,11,15,442,438.0,15,15.0,0.3614457831325301,0.25,54,ואמר והלכו עמים רבים ואמרו לכו ונעלה אל בית אלהי יעקב ,0.3493975903614458,6080000011
ref-sifre-d.1.20.160-ref-sifre-d.1.20.166,ref-b.3.5.7.36b.5.33-ref-b.3.5.7.36b.6.2,5426,5463,ref-sifre-d.1.20.160,ref-sifre-d.1.20.166,4021433,4021491,ref-b.3.5.7.36b.5.33,ref-b.3.5.7.36b.6.2,והלכו עמים רבים ואמרו לכו ונעלה אל ,עם רב ויאמר אליהם יהושע אם עם רב אתה עלה לך היערה אמר להן ,7,14,1660,1660.0,16,15.0,0.6896551724137931,0.875,21,עם רב ואמר ל ועלה אל ,0.6379310344827587,6080000012
ref-sifre-d.1.20.174-ref-sifre-d.1.20.179,ref-b.1.1.9.63b.3.6-ref-b.1.1.9.63b.3.11,5512,5539,ref-sifre-d.1.20.174,ref-sifre-d.1.20.179,350595,350622,ref-b.1.1.9.63b.3.6,ref-b.1.1.9.63b.3.11,כי מציון תצא תורה ודבר ה' ,כי מציון תצא תורה ודבר ה' ,6,6,167,167.0,17,17.0,0.0,0.0,26,כי מציון תצא תורה ודבר ה' ,0.0,6080000013
ref-sifre-d.2.1.1-ref-sifre-d.2.1.7,ref-b.5.2.6.65a.12.49-ref-b.5.2.6.65a.12.55,5849,5879,ref-sifre-d.2.1.1,ref-sifre-d.2.1.7,7341556,7341586,ref-b.5.2.6.65a.12.49,ref-b.5.2.6.65a.12.55,אחד עשר יום מחורב דרך הר שעיר ,אחד עשר יום מחורב דרך הר שעיר ,7,7,3572,3572.0,18,18.0,0.0,0.0,30,אחד עשר יום מחורב דרך הר שעיר ,0.0,6080000014
ref-sifre-d.2.1.27-ref-sifre-d.2.1.32,ref-b.2.9.4.29a.3.2-ref-b.2.9.4.29a.3.7,5986,6013,ref-sifre-d.2.1.27,ref-sifre-d.2.1.32,2481914,2481941,ref-b.2.9.4.29a.3.2,ref-b.2.9.4.29a.3.7,ויסעו מהר ה' דרך שלשת ימים ,ויסעו מהר ה' דרך שלשת ימים ,6,6,881,881.0,19,19.0,0.0,0.0,27,ויסעו מהר ה' דרך שלשת ימים ,0.0,6080000015
ref-sifre-d.2.2.66-ref-sifre-d.2.2.72,ref-b.2.10.1.10a.2.27-ref-b.2.10.1.10a.3.10,6550,6584,ref-sifre-d.2.2.66,ref-sifre-d.2.2.72,2529473,2529525,ref-b.2.10.1.10a.2.27,ref-b.2.10.1.10a.3.10,לבוא דכתיב_כי_לא באתם עד עתה אל המנוחה ואל הנחלה,לבוא דכתיב_כי_לא באתם עד עתה אל המנוחה ואל הנחלה,9,9,895,895.0,22,22.0,0.0,0.0,48,לבוא דכתיב_כי_לא באתם עד עתה אל המנוחה ואל הנחלה,0.0,6080000016
ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,ref-b.5.1.14.119a.3.8-ref-b.5.1.14.119a.3.16,6544,6584,ref-sifre-d.2.2.64,ref-sifre-d.2.2.72,7133017,7133057,ref-b.5.1.14.119a.3.8,ref-b.5.1.14.119a.3.16,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,9,9,3466,3466.0,20,20.0,0.0,0.0,38,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,0.0,6080000017
ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,ref-b.5.1.14.119a.9.5-ref-b.5.1.14.119a.9.13,6544,6584,ref-sifre-d.2.2.64,ref-sifre-d.2.2.72,7133779,7133819,ref-b.5.1.14.119a.9.5,ref-b.5.1.14.119a.9.13,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,9,9,3469,3469.0,21,20.0,0.0,0.0,38,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,0.0,6080000018
ref-sifre-d.2.2.131-ref-sifre-d.2.3.9,ref-b.2.8.1.2b.9.23-ref-b.2.8.1.2b.9.44,6874,6939,ref-sifre-d.2.2.131,ref-sifre-d.2.3.9,2246503,2246626,ref-b.2.8.1.2b.9.23,ref-b.2.8.1.2b.9.44,בחדש החמישי באחד לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד לחדש דבר משה וגו' מדקאי באב וקרי לה שנת ארבעים,בחדש החמישי באחד לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד לחדש דבר משה וגו' מדקאי באב וקרי לה שנת ארבעים,22,22,699,699.0,26,26.0,0.0,0.0,110,בחדש החמישי באחד לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד לחדש דבר משה וגו' מדקאי באב וקרי לה שנת ארבעים,0.0,6080000019
ref-sifre-d.2.3.1-ref-sifre-d.2.3.6,ref-b.2.8.1.3a.11.37-ref-b.2.8.1.3a.11.42,6884,6918,ref-sifre-d.2.3.1,ref-sifre-d.2.3.6,2248392,2248425,ref-b.2.8.1.3a.11.37,ref-b.2.8.1.3a.11.42,ויהי בארבעים שנה בעשתי עשר חודש ,ויהי בארבעים שנה בעשתי עשר חדש ,6,6,702,702.0,28,24.0,0.03125,0.0,31,ויהי בארבעים שנה בעשתי עשר חדש ,0.03125,6080000020
ref-sifre-d.2.2.131-ref-sifre-d.2.3.8,ref-b.2.8.1.3b.7.14-ref-b.2.8.1.3b.8.7,6874,6931,ref-sifre-d.2.2.131,ref-sifre-d.2.3.8,2250216,2250314,ref-b.2.8.1.3b.7.14,ref-b.2.8.1.3b.8.7,בשנת שתים בעשרים ואחד לחדש ואם איתא בשביעי בשנת שלש מיבעי_ליה_אמר_רבי אבהו כורש מלך כשר היה,בשנת שתים בעשרים ואחד לחדש ואם איתא בשביעי בשנת שלש מיבעי_ליה_אמר_רבי אבהו כורש מלך כשר היה,16,16,706,706.0,24,24.0,0.0,0.0,91,בשנת שתים בעשרים ואחד לחדש ואם איתא בשביעי בשנת שלש מיבעי_ליה_אמר_רבי אבהו כורש מלך כשר היה,0.0,6080000021
ref-sifre-d.2.3.29-ref-sifre-d.2.3.39,ref-b.4.4.1.12a.8.9-ref-b.4.4.1.12a.8.26,7028,7086,ref-sifre-d.2.3.29,ref-sifre-d.2.3.39,5967084,5967180,ref-b.4.4.1.12a.8.9,ref-b.4.4.1.12a.8.26,"ולשלמה י""ב נציבים על כל ישראל ואומר ונציב אחד אשר בארץ ",ולשלמה שנים עשר נציבים על כל ישראל וכלכלו את המלך ואת חדש בשנה והכתיב ונציב אחד אשר בארץ ,11,18,2523,2523.0,29,29.0,0.42696629213483145,0.5263157894736843,51,ולשלמה י נציבים על כל ישראל וומ ונציב אחד אשר בארץ ,0.4269662921348315,6080000022
ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,ref-b.2.8.1.11a.12.13-ref-b.2.8.1.11a.12.33,7191,7288,ref-sifre-d.2.3.61,ref-sifre-d.2.3.79,2274615,2274731,ref-b.2.8.1.11a.12.13,ref-b.2.8.1.11a.12.33,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",שנאמר ויאמר אליהם בן מאה_ועשרים_שנה אנכי היום שאין_תלמוד_לומר היום ומה_תלמוד_לומר היום היום מלאו ימי ושנותי ,19,15,743,743.0,30,30.0,0.23148148148148148,0.5333333333333333,83,ויאמר אליהם בן מאהושנה אנכי היום שאיןתלמודלומר היום ומהתל היום היום מלאו ימי שנותי ,0.2314814814814815,6080000023
ref-sifre-d.2.3.75-ref-sifre-d.2.3.87,ref-b.3.4.1.6b.4.23-ref-b.3.4.1.6b.6.4,7262,7331,ref-sifre-d.2.3.75,ref-sifre-d.2.3.87,3780893,3781006,ref-b.3.4.1.6b.4.23,ref-b.3.4.1.6b.6.4,ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת תן לו תורת נזיר לימא כתנאי עד מלאת הימים שומעני מיעוט ימים שנים,ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת תן לו תורת נזיר לימא כתנאי עד מלאת הימים שומעני מיעוט ימים שנים,29,29,1474,1474.0,32,32.0,0.0,0.0,143,ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת תן לו תורת נזיר לימא כתנאי עד מלאת הימים שומעני מיעוט ימים שנים,0.0,6080000024
ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,ref-b.3.5.1.13b.16.1-ref-b.3.5.1.13b.16.16,7191,7288,ref-sifre-d.2.3.61,ref-sifre-d.2.3.79,3954944,3955031,ref-b.3.5.1.13b.16.1,ref-b.3.5.1.13b.16.16,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",ויאמר אליהם בן מאה_ועשרים_שנה אנכי היום שאין_תלמוד_לומר היום היום מלאו ימי ושנותי ,19,12,1578,1578.0,31,30.0,0.25274725274725274,0.46153846153846156,72,ויאמר אליהם בן מאהושנה אנכי היום שאיןתלמודלומר היום היום מלאו ימי שנותי ,0.20879120879120883,6080000025
ref-sifre-d.2.3.89-ref-sifre-d.2.3.98,ref-b.2.8.1.13a.11.15-ref-b.2.8.1.13a.12.10,7337,7390,ref-sifre-d.2.3.89,ref-sifre-d.2.3.98,2280047,2280101,ref-b.2.8.1.13a.11.15,ref-b.2.8.1.13a.12.10,לו מעת לעת ואומר והעם עלו מן הירדן בעשור לחודש ,להו לא_סלקא_דעתך_דכתיב והעם עלו מן הירדן בעשור לחדש ,10,8,752,752.0,34,34.0,0.3269230769230769,0.33333333333333337,36,לו לעת והעם עלו מן הירדן בעשור לחדש ,0.3076923076923077,6080000026
ref-sifre-d.2.3.92-ref-sifre-d.2.3.99,ref-b.3.1.8.71b.10.17-ref-b.3.1.8.71b.10.24,7350,7398,ref-sifre-d.2.3.92,ref-sifre-d.2.3.99,3077601,3077647,ref-b.3.1.8.71b.10.17,ref-b.3.1.8.71b.10.24,ואומר והעם עלו מן הירדן בעשור לחודש הראשון ,שנאמר והעם עלו מן הירדן בעשור לחדש הראשון ,8,8,1233,1233.0,35,34.0,0.09302325581395349,0.2222222222222222,40,אמר והעם עלו מן הירדן בעשור לחדש הראשון ,0.06976744186046513,6080000027
ref-sifre-d.2.3.93-ref-sifre-d.2.3.107,ref-b.3.7.1.38a.6.20-ref-b.3.7.1.38a.6.32,7357,7449,ref-sifre-d.2.3.93,ref-sifre-d.2.3.107,4519778,4519849,ref-b.3.7.1.38a.6.20,ref-b.3.7.1.38a.6.32,והעם עלו מן הירדן בעשור לחודש הראשון ויחנו בקצה הגלגל הוצא ומנה שלשים ושלשה למפרע ,והעם עלו מן הירדן בעשור לחדש הראשון צא מהן שלשים ושלשה ימים למפרע ,15,13,2014,2014.0,36,34.0,0.34146341463414637,0.3125,60,והעם עלו מן הירדן בעשור לחדש הראשון צא מה שלשים ושלשה למפרע ,0.2682926829268293,6080000028
ref-sifre-d.2.3.112-ref-sifre-d.2.4.9,ref-b.2.8.1.2b.9.23-ref-b.2.8.1.2b.9.34,7472,7528,ref-sifre-d.2.3.112,ref-sifre-d.2.4.9,2246503,2246575,ref-b.2.8.1.2b.9.23,ref-b.2.8.1.2b.9.34,לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד,בחדש החמישי באחד לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד,9,12,698,698.0,37,37.0,0.2698412698412698,0.125,46,לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד,0.2698412698412699,6080000029
ref-sifre-d.2.4.2-ref-sifre-d.2.4.7,ref-b.2.8.1.3a.11.37-ref-b.2.8.1.3a.11.42,7481,7515,ref-sifre-d.2.4.2,ref-sifre-d.2.4.7,2248392,2248425,ref-b.2.8.1.3a.11.37,ref-b.2.8.1.3a.11.42,ויהי בארבעים שנה בעשתי עשר חודש ,ויהי בארבעים שנה בעשתי עשר חדש ,6,6,703,702.0,38,37.0,0.03125,0.0,31,ויהי בארבעים שנה בעשתי עשר חדש ,0.03125,6080000030
ref-sifre-d.2.4.26-ref-sifre-d.2.4.33,ref-b.2.4.4.56a.7.6-ref-b.2.4.4.56a.7.13,7615,7658,ref-sifre-d.2.4.26,ref-sifre-d.2.4.33,1455895,1455938,ref-b.2.4.4.56a.7.6,ref-b.2.4.4.56a.7.13,ויקרא יעקב אל בניו ויאמר האספו ואגידה לכם ,ויקרא יעקב אל בניו ויאמר האספו ואגידה לכם ,8,8,396,396.0,40,40.0,0.0,0.0,42,ויקרא יעקב אל בניו ויאמר האספו ואגידה לכם ,0.0,6080000031
ref-sifre-d.2.6.66-ref-sifre-d.2.7.12,ref-b.2.3.2.21a.13.19-ref-b.2.3.2.21a.13.35,8523,8626,ref-sifre-d.2.6.66,ref-sifre-d.2.7.12,1002694,1002778,ref-b.2.3.2.21a.13.19,ref-b.2.3.2.21a.13.35,לא ויאמר אליהם עד ה' בכם היום ויאמר עד וכן_אתה_מוצא בדוד שלא הוכיח את_ישראל_אלא_סמוך_למיתה שנאמר ,אמרו דוד ולא פירשו אמרו איוב ולא פירשו אמרו יחזקאל ולא פירשו עד שבא זכריה בן עדו ,15,17,285,285.0,43,41.0,0.7628865979381443,0.8421052631578947,35,אמר ד  יו אמרואוב לא י אראלולי שאר ,0.6391752577319587,6080000032
ref-sifre-d.2.6.58-ref-sifre-d.2.6.64,ref-b.3.3.4.38a.12.3-ref-b.3.3.4.38a.12.9,8484,8514,ref-sifre-d.2.6.58,ref-sifre-d.2.6.64,3683413,3683443,ref-b.3.3.4.38a.12.3,ref-b.3.3.4.38a.12.9,הנני ענו בי נגד ה' ונגד משיחו ,הנני ענו בי נגד ה' ונגד משיחו ,7,7,1458,1458.0,41,41.0,0.0,0.0,30,הנני ענו בי נגד ה' ונגד משיחו ,0.0,6080000033
ref-sifre-d.2.6.58-ref-sifre-d.2.6.70,ref-b.4.5.3.23b.13.6-ref-b.4.5.3.23b.13.24,8484,8544,ref-sifre-d.2.6.58,ref-sifre-d.2.6.70,6495814,6495903,ref-b.4.5.3.23b.13.6,ref-b.4.5.3.23b.13.24,הנני ענו בי נגד ה' ונגד משיחו ויאמרו לא ויאמר אליהם עד ה' ,הנני ענו בי נגד ה' ונגד משיחו את שור מי לקחתי ויאמרו לא עשקתנו ולא רצותנו ויאמר עד ה' ,13,19,3165,3165.0,42,41.0,0.4069767441860465,0.4666666666666667,52,הנני ענו בי נגד ה' ונגד משיחו ויאמרו לא ואר י עד ה' ,0.39534883720930236,6080000034
ref-sifre-d.3.1.16-ref-sifre-d.3.1.28,ref-b.2.1.9.89a.4.4-ref-b.2.1.9.89a.4.20,8912,8973,ref-sifre-d.3.1.16,ref-sifre-d.3.1.28,655418,655491,ref-b.2.1.9.89a.4.4,ref-b.2.1.9.89a.4.20,אמרו לו חיילותיו תן לנו את גלוסקאות חמות אמר להם אני נותן לכם ,אמר לו תורה שנתן לך הקדוש_ברוך_הוא היכן היא אמר לו וכי מה אני שנתן לי ,13,15,228,228.0,44,44.0,0.6285714285714286,0.8571428571428572,36,אמר לו תו תן ל קוו אמר לה אני נתן ל ,0.48571428571428577,6080000035
ref-sifre-d.4.1.1-ref-sifre-d.4.1.7,ref-b.3.5.7.35b.6.14-ref-b.3.5.7.35b.6.20,9699,9736,ref-sifre-d.4.1.1,ref-sifre-d.4.1.7,4018352,4018389,ref-b.3.5.7.35b.6.14,ref-b.3.5.7.35b.6.20,בעבר הירדן בארץ מואב הואיל משה באר ,בעבר הירדן בארץ מואב הואיל משה באר ,7,7,1654,1654.0,45,45.0,0.0,0.0,35,בעבר הירדן בארץ מואב הואיל משה באר ,0.0,6080000036
ref-sifre-d.4.1.35-ref-sifre-d.4.1.45,ref-b.5.1.14.120a.9.2-ref-b.5.1.14.120a.9.10,9880,9936,ref-sifre-d.4.1.35,ref-sifre-d.4.1.45,7137634,7137681,ref-b.5.1.14.120a.9.2,ref-b.5.1.14.120a.9.10,ויואל משה לשבת את האיש ואומר ויואל שאול את העם לאמר ,ויאמר שאול פוצו בעם ואמרתם להם הגישו אלי איש ,11,9,3480,3480.0,46,46.0,0.6923076923076923,0.5454545454545454,23,ויאמ שא  ואמר ל שו אלא ,0.5576923076923077,6080000037
ref-sifre-d.5.2.18-ref-sifre-d.5.2.28,ref-b.4.4.1.18a.3.4-ref-b.4.4.1.18a.3.12,10311,10369,ref-sifre-d.5.2.18,ref-sifre-d.5.2.28,5991130,5991176,ref-b.4.4.1.18a.3.4,ref-b.4.4.1.18a.3.12,עליכם ע' זקנים ושרי אלפים ושרי מאות ושרי נ' ושרי עשרות ,עליהם שרי אלפים שרי מאות שרי חמשים ושרי עשרות ,11,9,2539,2539.0,47,47.0,0.32727272727272727,0.6,40,עלים שרי אלפים שרי מאות שרי  ושרי עשרות ,0.2727272727272727,6080000038
ref-sifre-d.6.1.1-ref-sifre-d.6.1.14,ref-b.4.1.7.81b.6.14-ref-b.4.1.7.81b.6.22,10434,10499,ref-sifre-d.6.1.1,ref-sifre-d.6.1.14,4940859,4940903,ref-b.4.1.7.81b.6.14,ref-b.4.1.7.81b.6.22,פנו וסעו לכם זה דרך ערד וחרמה ובאו אל הר האמורי ואל כל שכניו ,פנו וסעו לכם ובאו הר האמורי ואל כל שכניו ,14,9,2140,2140.0,48,48.0,0.32786885245901637,0.33333333333333337,41,פנו וסעו לכם ובאו הר האמורי ואל כל שכניו ,0.3278688524590164,6080000039
ref-sifre-d.6.2.5-ref-sifre-d.6.2.15,ref-b.4.4.2.20b.8.10-ref-b.4.4.2.20b.8.22,10729,10793,ref-sifre-d.6.2.5,ref-sifre-d.6.2.15,6002367,6002442,ref-b.4.4.2.20b.8.10,ref-b.4.4.2.20b.8.22,נכנסים לארץ צריכים אתם להעמיד עליכם מלך ולבנות לכם בית הבחירה ,בכניסתן לארץ להעמיד להם מלך ולהכרית זרעו של עמלק ולבנות להם בית הבחירה ,11,13,2551,2551.0,49,49.0,0.39436619718309857,0.6470588235294117,44,כני לארץ להעמיד לם מלך ולבנות לם בית הבחירה ,0.3802816901408451,6080000040
ref-sifre-d.6.2.5-ref-sifre-d.6.2.15,ref-b.4.4.2.20b.11.9-ref-b.4.4.2.20b.11.21,10729,10793,ref-sifre-d.6.2.5,ref-sifre-d.6.2.15,6002721,6002796,ref-b.4.4.2.20b.11.9,ref-b.4.4.2.20b.11.21,נכנסים לארץ צריכים אתם להעמיד עליכם מלך ולבנות לכם בית הבחירה ,בכניסתן לארץ להעמיד להם מלך ולהכרית זרעו של עמלק ולבנות להם בית הבחירה ,11,13,2556,2556.0,50,49.0,0.39436619718309857,0.6470588235294117,44,כני לארץ להעמיד לם מלך ולבנות לם בית הבחירה ,0.3802816901408451,6080000041
