baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-sifre-d,dam-lev,jac,id
ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,ref-b.5.1.14.119a.3.8-ref-b.5.1.14.119a.3.16,6544,6584,ref-sifre-d.2.2.64,ref-sifre-d.2.2.72,7133017,7133057,ref-b.5.1.14.119a.3.8,ref-b.5.1.14.119a.3.16,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,9,9,3466,3466.0,20,20.0,0.0,0.0,6080000017
ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,ref-b.5.1.14.119a.9.5-ref-b.5.1.14.119a.9.13,6544,6584,ref-sifre-d.2.2.64,ref-sifre-d.2.2.72,7133779,7133819,ref-b.5.1.14.119a.9.5,ref-b.5.1.14.119a.9.13,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,9,9,3469,3469.0,21,20.0,0.0,0.0,6080000018
ref-sifre-d.2.2.131-ref-sifre-d.2.3.9,ref-b.2.8.1.2b.9.23-ref-b.2.8.1.2b.9.44,6874,6939,ref-sifre-d.2.2.131,ref-sifre-d.2.3.9,2246503,2246626,ref-b.2.8.1.2b.9.23,ref-b.2.8.1.2b.9.44,בחדש החמישי באחד לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד לחדש דבר משה וגו' מדקאי באב וקרי לה שנת ארבעים,בחדש החמישי באחד לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד לחדש דבר משה וגו' מדקאי באב וקרי לה שנת ארבעים,12,20,699,699.0,26,26.0,0.0,0.0,6080000019
ref-sifre-d.2.3.1-ref-sifre-d.2.3.6,ref-b.2.8.1.3a.11.37-ref-b.2.8.1.3a.11.42,6884,6918,ref-sifre-d.2.3.1,ref-sifre-d.2.3.6,2248392,2248425,ref-b.2.8.1.3a.11.37,ref-b.2.8.1.3a.11.42,ויהי בארבעים שנה בעשתי עשר חודש ,ויהי בארבעים שנה בעשתי עשר חדש ,6,6,702,702.0,28,24.0,0.03125,0.0,6080000020
ref-sifre-d.2.2.131-ref-sifre-d.2.3.8,ref-b.2.8.1.3b.7.14-ref-b.2.8.1.3b.8.7,6874,6931,ref-sifre-d.2.2.131,ref-sifre-d.2.3.8,2250216,2250314,ref-b.2.8.1.3b.7.14,ref-b.2.8.1.3b.8.7,בשנת שתים בעשרים ואחד לחדש ואם איתא בשביעי בשנת שלש מיבעי ליה אמר רבי אבהו כורש מלך כשר היה,בשנת שתים בעשרים ואחד לחדש ואם איתא בשביעי בשנת שלש מיבעי ליה אמר רבי אבהו כורש מלך כשר היה,9,19,706,706.0,24,24.0,0.0,0.0,6080000021
ref-sifre-d.2.3.29-ref-sifre-d.2.3.39,ref-b.4.4.1.12a.8.9-ref-b.4.4.1.12a.8.26,7028,7086,ref-sifre-d.2.3.29,ref-sifre-d.2.3.39,5967084,5967180,ref-b.4.4.1.12a.8.9,ref-b.4.4.1.12a.8.26,"ולשלמה י""ב נציבים על כל ישראל ואומר ונציב אחד אשר בארץ ",ולשלמה שנים עשר נציבים על כל ישראל וכלכלו את המלך ואת חדש בשנה והכתיב ונציב אחד אשר בארץ ,11,18,2523,2523.0,29,29.0,0.42696629213483145,0.5,6080000022
ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,ref-b.2.8.1.11a.12.13-ref-b.2.8.1.11a.12.33,7191,7288,ref-sifre-d.2.3.61,ref-sifre-d.2.3.79,2274615,2274731,ref-b.2.8.1.11a.12.13,ref-b.2.8.1.11a.12.33,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",שנאמר ויאמר אליהם בן מאה ועשרים שנה אנכי היום שאין תלמוד לומר היום ומה תלמוד לומר היום היום מלאו ימי ושנותי ,19,21,743,743.0,30,30.0,0.18518518518518517,0.2857142857142857,6080000023
ref-sifre-d.2.3.75-ref-sifre-d.2.3.87,ref-b.3.4.1.6b.4.23-ref-b.3.4.1.6b.6.4,7262,7331,ref-sifre-d.2.3.75,ref-sifre-d.2.3.87,3780893,3781006,ref-b.3.4.1.6b.4.23,ref-b.3.4.1.6b.6.4,ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת תן לו תורת נזיר לימא כתנאי עד מלאת הימים שומעני מיעוט ימים שנים,ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת תן לו תורת נזיר לימא כתנאי עד מלאת הימים שומעני מיעוט ימים שנים,11,9,1474,1474.0,32,32.0,0.0,0.0,6080000024
ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,ref-b.3.5.1.13b.16.1-ref-b.3.5.1.13b.16.16,7191,7288,ref-sifre-d.2.3.61,ref-sifre-d.2.3.79,3954944,3955031,ref-b.3.5.1.13b.16.1,ref-b.3.5.1.13b.16.16,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",ויאמר אליהם בן מאה ועשרים שנה אנכי היום שאין תלמוד לומר היום היום מלאו ימי ושנותי ,19,16,1578,1578.0,31,30.0,0.2087912087912088,0.23076923076923073,6080000025
ref-sifre-d.2.3.89-ref-sifre-d.2.3.98,ref-b.2.8.1.13a.11.15-ref-b.2.8.1.13a.12.10,7337,7390,ref-sifre-d.2.3.89,ref-sifre-d.2.3.98,2280047,2280101,ref-b.2.8.1.13a.11.15,ref-b.2.8.1.13a.12.10,לו מעת לעת ואומר והעם עלו מן הירדן בעשור לחודש ,להו לא סלקא דעתך דכתיב והעם עלו מן הירדן בעשור לחדש ,10,11,752,752.0,34,34.0,0.3076923076923077,0.4545454545454546,6080000026
ref-sifre-d.2.3.92-ref-sifre-d.2.3.99,ref-b.3.1.8.71b.10.17-ref-b.3.1.8.71b.10.24,7350,7398,ref-sifre-d.2.3.92,ref-sifre-d.2.3.99,3077601,3077647,ref-b.3.1.8.71b.10.17,ref-b.3.1.8.71b.10.24,ואומר והעם עלו מן הירדן בעשור לחודש הראשון ,שנאמר והעם עלו מן הירדן בעשור לחדש הראשון ,8,8,1233,1233.0,35,34.0,0.09302325581395349,0.2222222222222222,6080000027
ref-sifre-d.2.3.93-ref-sifre-d.2.3.107,ref-b.3.7.1.38a.6.20-ref-b.3.7.1.38a.6.32,7357,7449,ref-sifre-d.2.3.93,ref-sifre-d.2.3.107,4519778,4519849,ref-b.3.7.1.38a.6.20,ref-b.3.7.1.38a.6.32,והעם עלו מן הירדן בעשור לחודש הראשון ויחנו בקצה הגלגל הוצא ומנה שלשים ושלשה למפרע ,והעם עלו מן הירדן בעשור לחדש הראשון צא מהן שלשים ושלשה ימים למפרע ,15,13,2014,2014.0,36,34.0,0.34146341463414637,0.33333333333333337,6080000028
ref-sifre-d.2.3.112-ref-sifre-d.2.4.9,ref-b.2.8.1.2b.9.23-ref-b.2.8.1.2b.9.34,7472,7528,ref-sifre-d.2.3.112,ref-sifre-d.2.4.9,2246503,2246575,ref-b.2.8.1.2b.9.23,ref-b.2.8.1.2b.9.34,לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד,בחדש החמישי באחד לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד,9,10,698,698.0,37,37.0,0.2698412698412698,0.125,6080000029
ref-sifre-d.2.4.2-ref-sifre-d.2.4.7,ref-b.2.8.1.3a.11.37-ref-b.2.8.1.3a.11.42,7481,7515,ref-sifre-d.2.4.2,ref-sifre-d.2.4.7,2248392,2248425,ref-b.2.8.1.3a.11.37,ref-b.2.8.1.3a.11.42,ויהי בארבעים שנה בעשתי עשר חודש ,ויהי בארבעים שנה בעשתי עשר חדש ,6,6,703,702.0,38,37.0,0.03125,0.0,6080000030
ref-sifre-d.2.4.26-ref-sifre-d.2.4.33,ref-b.2.4.4.56a.7.6-ref-b.2.4.4.56a.7.13,7615,7658,ref-sifre-d.2.4.26,ref-sifre-d.2.4.33,1455895,1455938,ref-b.2.4.4.56a.7.6,ref-b.2.4.4.56a.7.13,ויקרא יעקב אל בניו ויאמר האספו ואגידה לכם ,ויקרא יעקב אל בניו ויאמר האספו ואגידה לכם ,8,8,396,396.0,40,40.0,0.0,0.0,6080000031
ref-sifre-d.2.6.66-ref-sifre-d.2.7.12,ref-b.2.3.2.21a.13.19-ref-b.2.3.2.21a.13.35,8523,8626,ref-sifre-d.2.6.66,ref-sifre-d.2.7.12,1002694,1002778,ref-b.2.3.2.21a.13.19,ref-b.2.3.2.21a.13.35,לא ויאמר אליהם עד ה' בכם היום ויאמר עד וכן אתה מוצא בדוד שלא הוכיח את ישראל אלא סמוך למיתה שנאמר ,אמרו דוד ולא פירשו אמרו איוב ולא פירשו אמרו יחזקאל ולא פירשו עד שבא זכריה בן עדו ,21,17,285,285.0,43,41.0,0.7319587628865979,0.8260869565217391,6080000032
ref-sifre-d.2.6.58-ref-sifre-d.2.6.64,ref-b.3.3.4.38a.12.3-ref-b.3.3.4.38a.12.9,8484,8514,ref-sifre-d.2.6.58,ref-sifre-d.2.6.64,3683413,3683443,ref-b.3.3.4.38a.12.3,ref-b.3.3.4.38a.12.9,הנני ענו בי נגד ה' ונגד משיחו ,הנני ענו בי נגד ה' ונגד משיחו ,7,7,1458,1458.0,41,41.0,0.0,0.0,6080000033
ref-sifre-d.2.6.58-ref-sifre-d.2.6.70,ref-b.4.5.3.23b.13.6-ref-b.4.5.3.23b.13.24,8484,8544,ref-sifre-d.2.6.58,ref-sifre-d.2.6.70,6495814,6495903,ref-b.4.5.3.23b.13.6,ref-b.4.5.3.23b.13.24,הנני ענו בי נגד ה' ונגד משיחו ויאמרו לא ויאמר אליהם עד ה' ,הנני ענו בי נגד ה' ונגד משיחו את שור מי לקחתי ויאמרו לא עשקתנו ולא רצותנו ויאמר עד ה' ,13,19,3165,3165.0,42,41.0,0.4069767441860465,0.4666666666666667,6080000034
ref-sifre-d.3.1.16-ref-sifre-d.3.1.28,ref-b.2.1.9.89a.4.4-ref-b.2.1.9.89a.4.20,8912,8973,ref-sifre-d.3.1.16,ref-sifre-d.3.1.28,655418,655491,ref-b.2.1.9.89a.4.4,ref-b.2.1.9.89a.4.20,אמרו לו חיילותיו תן לנו את גלוסקאות חמות אמר להם אני נותן לכם ,אמר לו תורה שנתן לך הקדוש ברוך הוא היכן היא אמר לו וכי מה אני שנתן לי ,13,17,228,228.0,44,44.0,0.6142857142857143,0.8666666666666667,6080000035
ref-sifre-d.4.1.1-ref-sifre-d.4.1.7,ref-b.3.5.7.35b.6.14-ref-b.3.5.7.35b.6.20,9699,9736,ref-sifre-d.4.1.1,ref-sifre-d.4.1.7,4018352,4018389,ref-b.3.5.7.35b.6.14,ref-b.3.5.7.35b.6.20,בעבר הירדן בארץ מואב הואיל משה באר ,בעבר הירדן בארץ מואב הואיל משה באר ,7,7,1654,1654.0,45,45.0,0.0,0.0,6080000036
ref-sifre-d.4.1.35-ref-sifre-d.4.1.45,ref-b.5.1.14.120a.9.2-ref-b.5.1.14.120a.9.10,9880,9936,ref-sifre-d.4.1.35,ref-sifre-d.4.1.45,7137634,7137681,ref-b.5.1.14.120a.9.2,ref-b.5.1.14.120a.9.10,ויואל משה לשבת את האיש ואומר ויואל שאול את העם לאמר ,ויאמר שאול פוצו בעם ואמרתם להם הגישו אלי איש ,11,9,3480,3480.0,46,46.0,0.6923076923076923,0.5454545454545454,6080000037
ref-sifre-d.5.2.18-ref-sifre-d.5.2.28,ref-b.4.4.1.18a.3.4-ref-b.4.4.1.18a.3.12,10311,10369,ref-sifre-d.5.2.18,ref-sifre-d.5.2.28,5991130,5991176,ref-b.4.4.1.18a.3.4,ref-b.4.4.1.18a.3.12,עליכם ע' זקנים ושרי אלפים ושרי מאות ושרי נ' ושרי עשרות ,עליהם שרי אלפים שרי מאות שרי חמשים ושרי עשרות ,11,9,2539,2539.0,47,47.0,0.32727272727272727,0.6666666666666667,6080000038
ref-sifre-d.6.1.1-ref-sifre-d.6.1.14,ref-b.4.1.7.81b.6.14-ref-b.4.1.7.81b.6.22,10434,10499,ref-sifre-d.6.1.1,ref-sifre-d.6.1.14,4940859,4940903,ref-b.4.1.7.81b.6.14,ref-b.4.1.7.81b.6.22,פנו וסעו לכם זה דרך ערד וחרמה ובאו אל הר האמורי ואל כל שכניו ,פנו וסעו לכם ובאו הר האמורי ואל כל שכניו ,14,9,2140,2140.0,48,48.0,0.32786885245901637,0.33333333333333337,6080000039
ref-sifre-d.6.2.5-ref-sifre-d.6.2.15,ref-b.4.4.2.20b.8.10-ref-b.4.4.2.20b.8.22,10729,10793,ref-sifre-d.6.2.5,ref-sifre-d.6.2.15,6002367,6002442,ref-b.4.4.2.20b.8.10,ref-b.4.4.2.20b.8.22,נכנסים לארץ צריכים אתם להעמיד עליכם מלך ולבנות לכם בית הבחירה ,בכניסתן לארץ להעמיד להם מלך ולהכרית זרעו של עמלק ולבנות להם בית הבחירה ,11,13,2551,2551.0,49,49.0,0.39436619718309857,0.6470588235294117,6080000040
ref-sifre-d.6.2.5-ref-sifre-d.6.2.15,ref-b.4.4.2.20b.11.9-ref-b.4.4.2.20b.11.21,10729,10793,ref-sifre-d.6.2.5,ref-sifre-d.6.2.15,6002721,6002796,ref-b.4.4.2.20b.11.9,ref-b.4.4.2.20b.11.21,נכנסים לארץ צריכים אתם להעמיד עליכם מלך ולבנות לכם בית הבחירה ,בכניסתן לארץ להעמיד להם מלך ולהכרית זרעו של עמלק ולבנות להם בית הבחירה ,11,13,2556,2556.0,50,49.0,0.39436619718309857,0.6470588235294117,6080000041
ref-sifre-d.6.2.11-ref-sifre-d.6.2.21,ref-b.4.4.2.20b.12.17-ref-b.4.4.2.20b.13.8,10766,10827,ref-sifre-d.6.2.11,ref-sifre-d.6.2.21,6002898,6002992,ref-b.4.4.2.20b.12.17,ref-b.4.4.2.20b.13.8,מלך ולבנות לכם בית הבחירה ומנין שאין לבנון אלא מלך שנאמר ,ואין כסא אלא מלך שנאמר וישב שלמה על כסא ה' למלך ועדיין איני יודע אם לבנות להם בית הבחירה ,11,19,2560,2560.0,52,49.0,0.7078651685393258,0.7619047619047619,6080000042
ref-sifre-d.6.2.8-ref-sifre-d.6.2.21,ref-b.5.5.9.30a.12.13-ref-b.5.5.9.30a.13.6,10749,10827,ref-sifre-d.6.2.8,ref-sifre-d.6.2.21,8213284,8213383,ref-b.5.5.9.30a.12.13,ref-b.5.5.9.30a.13.6,אתם להעמיד עליכם מלך ולבנות לכם בית הבחירה ומנין שאין לבנון אלא מלך שנאמר ,מנין שאינו מחשב אלא במנה שנאמר והשיב את העודף העודף שבידו מכרה לו במאתים והכסיפה ועמדה על ,14,17,3873,3873.0,51,49.0,0.7888888888888889,0.782608695652174,6080000043
ref-sifre-d.6.2.31-ref-sifre-d.6.2.40,ref-b.2.8.1.3b.6.23-ref-b.2.8.1.3b.6.33,10876,10925,ref-sifre-d.6.2.31,ref-sifre-d.6.2.40,2249987,2250043,ref-b.2.8.1.3b.6.23,ref-b.2.8.1.3b.6.33,אשר בלבנון שלח אל הארז אשר בלבנון לאמר תנה לנו ,אשר תשלחני אל יהודה אל עיר קברות אבותי ואבננה ויאמר לי ,10,11,705,705.0,53,53.0,0.6545454545454545,0.7857142857142857,6080000044
ref-sifre-d.6.2.31-ref-sifre-d.6.2.40,ref-b.3.5.8.43a.11.15-ref-b.3.5.8.43a.12.1,10876,10925,ref-sifre-d.6.2.31,ref-sifre-d.6.2.40,4046867,4046938,ref-b.3.5.8.43a.11.15,ref-b.3.5.8.43a.12.1,אשר בלבנון שלח אל הארז אשר בלבנון לאמר תנה לנו ,אשר בנה לקח וירש וניתן לו במתנה מנין תלמוד לומר מי האיש אשר בנה בית ,10,15,1727,1720.0,54,53.0,0.6764705882352942,0.8,6080000045
ref-sifre-d.6.3.12-ref-sifre-d.6.3.17,ref-b.2.1.9.89b.3.58-ref-b.2.1.9.89b.3.63,11137,11171,ref-sifre-d.6.3.12,ref-sifre-d.6.3.17,657593,657627,ref-b.2.1.9.89b.3.58,ref-b.2.1.9.89b.3.63,אם יהיו חטאיכם כשנים כשלג ילבינו ,אם יהיו חטאיכם כשנים כשלג ילבינו ,6,6,231,231.0,56,55.0,0.0,0.0,6080000046
ref-sifre-d.6.3.11-ref-sifre-d.6.3.17,ref-b.2.5.6.67a.10.29-ref-b.2.5.6.67a.10.35,11130,11171,ref-sifre-d.6.3.11,ref-sifre-d.6.3.17,1874059,1874100,ref-b.2.5.6.67a.10.29,ref-b.2.5.6.67a.10.35,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,7,7,592,592.0,55,55.0,0.0,0.0,6080000047
ref-sifre-d.7.1.1-ref-sifre-d.7.1.23,ref-b.3.1.1.15b.2.27-ref-b.3.1.1.15b.3.9,11678,11793,ref-sifre-d.7.1.1,ref-sifre-d.7.1.23,2884911,2885029,ref-b.3.1.1.15b.2.27,ref-b.3.1.1.15b.3.9,אמר לי הולך לו זיתים והולכתי לו ראה אותן שהן לחין אמר לי אין אני אוכל זיתים באתי והודעתי את אבא אמר לי לך ואמור לו,אמר לי הולך לו זיתים והולכתי לו ראה אותן שהן לחין אמר לי אין אני אוכל זיתים באתי והודעתי את אבא אמר לי לך ואמור לו,23,16,1111,1111.0,57,57.0,0.0,0.0,6080000048
ref-sifre-d.8.1.17-ref-sifre-d.8.1.22,ref-b.4.4.11.92a.20.9-ref-b.4.4.11.92a.20.12,11913,11940,ref-sifre-d.8.1.17,ref-sifre-d.8.1.22,6295051,6295072,ref-b.4.4.11.92a.20.9,ref-b.4.4.11.92a.20.12,נאמר חבקוק ג עריה תעור קשתך ,שנאמר עריה תעור קשתך ,6,4,2951,2951.0,59,59.0,0.32142857142857145,0.5714285714285714,6080000049
ref-sifre-d.8.1.92-ref-sifre-d.8.1.99,ref-b.2.1.16.118b.1.9-ref-b.2.1.16.118b.1.21,12295,12334,ref-sifre-d.8.1.92,ref-sifre-d.8.1.99,766309,766376,ref-b.2.1.16.118b.1.9,ref-b.2.1.16.118b.1.21,קום לך בארץ לארכה ולרחבה כי לך אתננה ,קום התהלך בארץ לארכה וגו' ולא כיצחק שכתוב בו כי לך ולזרעך אתן ,8,13,246,246.0,63,60.0,0.5161290322580645,0.6923076923076923,6080000050
