baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-mek,dam-lev,jac,id
ref-mek.1.1.1.1237-ref-mek.1.1.1.1246,ref-y.4.4.10.2.5.68-ref-y.4.4.10.2.5.82,6393,6432,ref-mek.1.1.1.1237,ref-mek.1.1.1.1246,3285215,3285280,ref-y.4.4.10.2.5.68,ref-y.4.4.10.2.5.82,אם אין כרם אין סייג אם אין צאן אין רועה ,אם אין גדיים אין תיישים אם אין תיישים אין צאן אם אין צאן אין רועה ,10,15,1395,1395.0,10,10.0,0.45454545454545453,0.5714285714285714,3070000011
ref-mek.1.2.1.95-ref-mek.1.2.1.112,ref-y.1.6.3.4.2.26-ref-y.1.6.3.4.2.41,7069,7155,ref-mek.1.2.1.95,ref-mek.1.2.1.112,562776,562858,ref-y.1.6.3.4.2.26,ref-y.1.6.3.4.2.41,הזה זה ניסן אתה אומר זה ניסן או אינו אלא אחד מחדשי השנה כשהוא אומר חג האסיף בצאת ,זה הגומר בלב אתה אומר זה הגומר כלב או אינו אלא המוציא בשפתיו כשהוא אומר מוצא ,18,16,221,220.0,11,11.0,0.5308641975308642,0.6666666666666667,3070000012
ref-mek.1.2.1.107-ref-mek.1.2.1.130,ref-y.2.8.1.1.15.216-ref-y.2.8.1.1.15.243,7122,7245,ref-mek.1.2.1.107,ref-mek.1.2.1.130,1644472,1644613,ref-y.2.8.1.1.15.216,ref-y.2.8.1.1.15.243,שנים מניין כתוב אחד אומר וחג האסיף בצאת חשנה וכתיב אחר אומר וחג האסיף תקופת השנה אי זהו חדש שיש בו חג ותקופה ואסיף ושנה יוצא בו אי,שנים מניין כתוב אחד אומר וחג האסיף בצאת חשנה וכתיב אחר אומר וחג האסיף תקופת השנה אי זהו חדש שיש בו חג ותקופה ואסיף ושנה יוצא בו אי,24,27,570,570.0,14,14.0,0.0,0.0,3070000013
ref-mek.1.2.1.95-ref-mek.1.2.1.112,ref-y.3.4.5.1.2.25-ref-y.3.4.5.1.2.40,7069,7155,ref-mek.1.2.1.95,ref-mek.1.2.1.112,2756593,2756676,ref-y.3.4.5.1.2.25,ref-y.3.4.5.1.2.40,הזה זה ניסן אתה אומר זה ניסן או אינו אלא אחד מחדשי השנה כשהוא אומר חג האסיף בצאת ,זה הגומר בלב אתה אומר זה הגומר בלב או אינו אלא המוציא בשפתיו בשהוא אומר מוצא ,18,16,985,984.0,12,11.0,0.5432098765432098,0.6666666666666667,3070000014
ref-mek.1.2.1.98-ref-mek.1.2.1.109,ref-y.4.4.1.1.3.6-ref-y.4.4.1.1.3.14,7082,7139,ref-mek.1.2.1.98,ref-mek.1.2.1.109,3132636,3132681,ref-y.4.4.1.1.3.6,ref-y.4.4.1.1.3.14,אתה אומר זה ניסן או אינו אלא אחד מחדשי השנה כשהוא אומר ,אתה אומר בשנים או אינו אלא באחד כשהוא אומ' ,12,9,1191,1185.0,13,11.0,0.32727272727272727,0.36363636363636365,3070000015
ref-mek.1.2.1.180-ref-mek.1.2.1.185,ref-y.2.3.10.5.3.15-ref-y.2.3.10.5.3.20,7507,7542,ref-mek.1.2.1.180,ref-mek.1.2.1.185,1381941,1381980,ref-y.2.3.10.5.3.15,ref-y.2.3.10.5.3.20,חג המצות וחג השבועות וחג הסכות ,בחג המצות ובחג השבועות ובחג הסכות ,6,6,465,465.0,16,16.0,0.08823529411764706,0.19999999999999996,3070000016
ref-mek.1.2.1.180-ref-mek.1.2.1.185,ref-y.4.6.1.4.3.11-ref-y.4.6.1.4.3.16,7507,7542,ref-mek.1.2.1.180,ref-mek.1.2.1.185,3339722,3339758,ref-y.4.6.1.4.3.11,ref-y.4.6.1.4.3.16,חג המצות וחג השבועות וחג הסכות ,חג המצות וחג השבועות וחג הסוכות ,6,6,1433,1433.0,17,16.0,0.03125,0.0,3070000017
ref-mek.1.2.1.201-ref-mek.1.2.1.213,ref-y.1.5.10.1.14.88-ref-y.1.5.10.1.14.104,7631,7711,ref-mek.1.2.1.201,ref-mek.1.2.1.213,522180,522258,ref-y.1.5.10.1.14.88,ref-y.1.5.10.1.14.104,ולא לשנים ולא לשמטין ויובלות ולא לנטיעה ולא לירקות שנאמר מקץ שבע שנים ,לא היא שנת שבע ולא היא שנת השמיטה מה תלמוד לומר קרבה שנת השבע שנת השמיטה שלא ,13,17,218,218.0,20,18.0,0.7272727272727273,0.7857142857142857,3070000018
ref-mek.1.2.1.210-ref-mek.1.2.1.216,ref-y.1.8.5.3.2.117-ref-y.1.8.5.3.2.124,7691,7729,ref-mek.1.2.1.210,ref-mek.1.2.1.216,747738,747782,ref-y.1.8.5.3.2.117,ref-y.1.8.5.3.2.124,שנאמר מקץ שבע שנים במועד שנת השמטה ,ונאמר להלן מקצה שבע שני' במועד שנת השמיטה ,7,8,235,234.0,21,18.0,0.23809523809523808,0.5,3070000019
ref-mek.1.2.1.189-ref-mek.1.2.1.210,ref-y.2.8.1.1.1.18-ref-y.2.8.1.1.1.34,7564,7697,ref-mek.1.2.1.189,ref-mek.1.2.1.210,1631545,1631641,ref-y.2.8.1.1.1.18,ref-y.2.8.1.1.1.34,ראש לא למלכים ולא לרגלים רבי לשני' ולא לשמיטי' ולא לירקות ואימר לכם הוא ראש ואינו ראש לא למלכים ולא לרגלים רבי לשני' ולא לשמיטי' ולא,ולא לירקות ואימר לכם הוא ראש ואינו ראש לא למלכים ולא לרגלים רבי לשני' ולא לשמיטי' ולא,18,17,556,556.0,18,18.0,0.3560606060606061,0.0,3070000020
ref-mek.1.2.1.211-ref-mek.1.2.1.216,ref-y.4.8.1.1.3.19-ref-y.4.8.1.1.3.24,7698,7729,ref-mek.1.2.1.211,ref-mek.1.2.1.216,3411589,3411620,ref-y.4.8.1.1.3.19,ref-y.4.8.1.1.3.24,מקץ שבע שנים במועד שנת השמטה ,מקץ שבע שנים במועד שנת השמיטה ,6,6,1505,1505.0,22,18.0,0.03333333333333333,0.0,3070000021
ref-mek.1.2.1.240-ref-mek.1.2.1.262,ref-y.2.12.2.2.4.544-ref-y.2.12.2.2.4.585,7861,7968,ref-mek.1.2.1.240,ref-mek.1.2.1.262,1956811,1957024,ref-y.2.12.2.2.4.544,ref-y.2.12.2.2.4.585,אמרה מה דהיא אמרה ומייתיא חמר אמרון ליה את מה אית בך עבד אמר לון אית בי צפר תרין צפרין ומייתי לכון תמנין,אמר' מה דהיא אמר' ומייתיא פיתא וחדא אמרה מה דהיא אמרה ומייתי' קופד אמרה מה דהיא אמרה ומייתיא תבשילין אמרה מה דהיא אמרה ומייתיא חמר אמרון ליה את מה אית בך עבד אמר לון אית בי צפר תרין צפרין ומייתי לכון תמנין,23,42,713,713.0,23,23.0,0.4926829268292683,0.3157894736842105,3070000022
ref-mek.1.4.2.107-ref-mek.1.4.2.123,ref-y.1.6.7.2.2.8-ref-y.1.6.7.2.2.22,11756,11855,ref-mek.1.4.2.107,ref-mek.1.4.2.123,594960,595038,ref-y.1.6.7.2.2.8,ref-y.1.6.7.2.2.22,לבית אבות אין לבית אבות אלא למשפחות שנאמר למשפחותם לבית אבותם והרי שהיו עשר משפחות לבית אב ,בית אביה את שאינה ראויה לחזור לבית אביה יצאת זו שהיא ראויה לחזור לבית אביה ,17,15,226,226.0,25,25.0,0.5934065934065934,0.75,3070000023
ref-mek.1.4.3.191-ref-mek.1.4.3.200,ref-y.2.3.5.3.1.20-ref-y.2.3.5.3.1.31,12918,12967,ref-mek.1.4.3.191,ref-mek.1.4.3.200,1298058,1298116,ref-y.2.3.5.3.1.20,ref-y.2.3.5.3.1.31,לשון סורסי הוא זה כאדם שאומר לחבירו כוס לי טלה ,לשון סורסי הוא זה כאדם שהוא אומר לחבירו כוס לי את הטלה ,10,12,407,407.0,26,26.0,0.14545454545454545,0.36363636363636365,3070000024
ref-mek.1.5.2.9-ref-mek.1.5.2.40,ref-y.2.3.6.1.8.4-ref-y.2.3.6.1.9.2,13770,13928,ref-mek.1.5.2.9,ref-mek.1.5.2.40,1312552,1312673,ref-y.2.3.6.1.8.4,ref-y.2.3.6.1.9.2,מן הכשבים ומן העזים דברי ר' אליעזר ר' יאשיה אומר תקחו למה נאמר לפי שנאמר וזבחת פסח לה' אלהיך צאן ובקר צאן לפסח ובקר לחגיגה אתה אומר כן או אינו אלא אחד ,וזבחת פסח ליי' אלהיך צאן ובקר וכת' אחד או' מן הכבשי' ומן העזים תקחו הא כיצד צאן לפסח וצאן ובקר לחגיגה כתוב אחד ,32,23,414,411.0,27,27.0,0.6688741721854304,0.5555555555555556,3070000025
ref-mek.1.5.2.117-ref-mek.1.5.2.152,ref-y.2.3.6.1.8.3-ref-y.2.3.6.1.9.3,14312,14494,ref-mek.1.5.2.117,ref-mek.1.5.2.152,1312547,1312678,ref-y.2.3.6.1.8.3,ref-y.2.3.6.1.9.3,אומ' וזבחת פסח ליי' אלהיך צאן ובקר,אומ' וזבחת פסח ליי' אלהיך צאן ובקר,12,7,411,411.0,28,28.0,0.0,0.0,3070000026
ref-mek.1.6.1.243-ref-mek.1.6.1.247,ref-y.3.7.3.12.12.20-ref-y.3.7.3.12.12.24,16289,16320,ref-mek.1.6.1.243,ref-mek.1.6.1.247,2930619,2930651,ref-y.3.7.3.12.12.20,ref-y.3.7.3.12.12.24,ויתילדו על משפחותם לבית אבותם ,ויתיילדו על משפחותם לבית אבותם ,5,5,1081,1081.0,32,32.0,0.03225806451612903,0.0,3070000027
ref-mek.1.6.1.348-ref-mek.1.6.1.354,ref-y.1.2.1.1.52.40-ref-y.1.2.1.1.52.46,16861,16899,ref-mek.1.6.1.348,ref-mek.1.6.1.354,221852,221895,ref-y.1.2.1.1.52.40,ref-y.1.2.1.1.52.46,פורק עול ומפר ברית ומגלה פנים בתורה ,הפורק עול והמיפר ברית והמגלה פנים בתורה ,7,7,163,163.0,34,33.0,0.1,0.0,3070000028
ref-mek.1.6.1.348-ref-mek.1.6.1.353,ref-y.1.2.1.1.53.52-ref-y.1.2.1.1.53.57,16861,16892,ref-mek.1.6.1.348,ref-mek.1.6.1.353,222450,222485,ref-y.1.2.1.1.53.52,ref-y.1.2.1.1.53.57,פורק עול ומפר ברית ומגלה פנים ,הפורק עול והמפר ברית והמגלה פנים ,6,6,165,165.0,33,33.0,0.09090909090909091,0.0,3070000029
ref-mek.1.6.1.348-ref-mek.1.6.1.354,ref-y.2.5.8.7.2.12-ref-y.2.5.8.7.2.18,16861,16899,ref-mek.1.6.1.348,ref-mek.1.6.1.354,1489389,1489432,ref-y.2.5.8.7.2.12,ref-y.2.5.8.7.2.18,פורק עול ומפר ברית ומגלה פנים בתורה ,הפורק עול והמיפר ברית והמגלה פנים בתורה ,7,7,491,491.0,35,33.0,0.1,0.0,3070000030
ref-mek.1.6.1.348-ref-mek.1.6.1.354,ref-y.4.4.10.1.1.10-ref-y.4.4.10.1.1.16,16861,16899,ref-mek.1.6.1.348,ref-mek.1.6.1.354,3270414,3270457,ref-y.4.4.10.1.1.10,ref-y.4.4.10.1.1.16,פורק עול ומפר ברית ומגלה פנים בתורה ,הפורק עול והמיפר ברית והמגלה פנים בתורה ,7,7,1380,1380.0,36,33.0,0.1,0.0,3070000031
ref-mek.1.6.1.348-ref-mek.1.6.1.354,ref-y.4.6.1.6.6.11-ref-y.4.6.1.6.6.17,16861,16899,ref-mek.1.6.1.348,ref-mek.1.6.1.354,3343618,3343658,ref-y.4.6.1.6.6.11,ref-y.4.6.1.6.6.17,פורק עול ומפר ברית ומגלה פנים בתורה ,מפורק עול ומיפר ברית ומגלה פני' בתורה ,7,7,1435,1435.0,37,33.0,0.07894736842105263,0.25,3070000032
ref-mek.1.6.1.355-ref-mek.1.6.1.368,ref-y.1.1.5.1.21.263-ref-y.1.1.5.1.21.268,16900,16976,ref-mek.1.6.1.355,ref-mek.1.6.1.368,116851,116876,ref-y.1.1.5.1.21.263,ref-y.1.1.5.1.21.268,שנאמר לעברך בברית ה' אלהיך ואין ברית אלא תורה שנאמר אלה דברי הברית וגו' ,אל ה' ויאמר ה' אלהי וגו' ,14,6,101,100.0,38,38.0,0.6944444444444444,0.7272727272727273,3070000033
ref-mek.1.6.1.728-ref-mek.1.6.1.739,ref-y.2.6.2.7.1.6-ref-y.2.6.2.7.1.18,18867,18927,ref-mek.1.6.1.728,ref-mek.1.6.1.739,1595673,1595740,ref-y.2.6.2.7.1.6,ref-y.2.6.2.7.1.18,נאמר כאן תשבו ונאמר להלן ופתח אוהר' מועד ישבו יומם ולילה מה ישיבה,נאמר כאן תשבו ונאמר להלן ופתח אוהר' מועד ישבו יומם ולילה מה ישיבה,10,13,537,536.0,41,41.0,0.0,0.0,3070000034
ref-mek.1.6.1.726-ref-mek.1.6.1.732,ref-y.4.4.3.9.4.45-ref-y.4.4.3.9.4.54,18854,18895,ref-mek.1.6.1.726,ref-mek.1.6.1.732,3187599,3187651,ref-y.4.4.3.9.4.45,ref-y.4.4.3.9.4.54,להקיש ולדון נאמר כאן במועדו ונאמר להלן ,להקיש ולדון ממנו גזירה שוה נאמר כאן שני ונאמר להלן ,7,10,1225,1225.0,39,39.0,0.4117647058823529,0.4545454545454546,3070000035
ref-mek.1.6.1.727-ref-mek.1.6.1.734,ref-y.4.4.3.9.4.74-ref-y.4.4.3.9.5.15,18860,18906,ref-mek.1.6.1.727,ref-mek.1.6.1.734,3187750,3187828,ref-y.4.4.3.9.4.74,ref-y.4.4.3.9.5.15,ולדון נאמר כאן במועדו ונאמר להלן במועדו מה ,דנה ולא מעידה רבי יוסי בי רבי בון בשם רב יוסף נאמר כאן שני ונאמר להלן שני מה ,8,18,1229,1229.0,40,39.0,0.6753246753246753,0.7142857142857143,3070000036
ref-mek.1.6.1.742-ref-mek.1.6.1.759,ref-y.2.3.7.5.1.15-ref-y.2.3.7.5.4.13,18937,19026,ref-mek.1.6.1.742,ref-mek.1.6.1.759,1330192,1330277,ref-y.2.3.7.5.1.15,ref-y.2.3.7.5.4.13,ושחטו אותו כל קהל עדת ישראל מנין אתה אומר שאם אין להם לישראל אלא פסח אחד שכולן יוצאים ,"ושחטו אותו כל קהל עדת ישראל בין הערבים אותו אע""פ שאין שם אלא פסח אחד כולהון יוצאין ",18,17,428,427.0,43,43.0,0.32558139534883723,0.4444444444444444,3070000037
ref-mek.1.6.1.771-ref-mek.1.6.1.778,ref-y.2.3.7.5.1.15-ref-y.2.3.7.5.4.4,19084,19129,ref-mek.1.6.1.771,ref-mek.1.6.1.778,1330192,1330232,ref-y.2.3.7.5.1.15,ref-y.2.3.7.5.4.4,נשחט בשלש כתות קהל ועדה וישראל בין הערבים ,ושחטו אותו כל קהל עדת ישראל בין הערבים ,8,8,427,427.0,44,44.0,0.2857142857142857,0.4444444444444444,3070000038
ref-mek.1.6.1.786-ref-mek.1.6.1.791,ref-y.2.3.5.1.2.53-ref-y.2.3.5.1.2.58,19164,19202,ref-mek.1.6.1.786,ref-mek.1.6.1.791,1290969,1291007,ref-y.2.3.5.1.2.53,ref-y.2.3.5.1.2.58,בערב אי בערב יכול משתחשך תלמוד לומר ,בערב אי בערב יכול משתחשך תלמוד לומר ,7,7,405,405.0,45,45.0,0.0,0.0,3070000039
ref-mek.1.6.1.788-ref-mek.1.6.1.826,ref-y.2.3.5.1.6.35-ref-y.2.3.5.1.6.61,19173,19387,ref-mek.1.6.1.788,ref-mek.1.6.1.826,1292133,1292263,ref-y.2.3.5.1.6.35,ref-y.2.3.5.1.6.61,בערב יכול משתחשך תלמוד לומר כבא השמש אי כבא השמש ובשלת ואכלת תלמוד לומר מועד צאתך הפסיק הענין ובשלת ואכלת משחשכה ר' אומר הרי הוא אומר שם תזבח את הפסח בערב שומע אני כשמועו תלמוד לומר מועד צאתך ממצרים ,שם תזבח את הפסח בערב בערב אתה זובח כבוא השמש אתה אוכל מועד צאתך מארץ מצרים אתה צולה אית תניי תני בערב מ אתה אוכל כבא השמש ,39,27,406,406.0,46,45.0,0.6884422110552764,0.6428571428571428,3070000040
ref-mek.1.6.1.848-ref-mek.1.6.1.874,ref-y.2.3.5.1.1.62-ref-y.2.3.5.1.1.83,19496,19635,ref-mek.1.6.1.848,ref-mek.1.6.1.874,1290343,1290442,ref-y.2.3.5.1.1.62,ref-y.2.3.5.1.1.83,"לבין הערבים שהוא משש שעות ולמעלה אע""פ שאין ראיה לדבר זכר לדבר קדשו עליה מלחמה קומו ונעלה בצהרים אוי לנו כי פנה היום כי ינטו צללי ערב ",בין הערבים ממש שעות ולמעלן אף על פי שאין ראיה לדבר זכר לדבר אוי לנו כי פנה היום כי ינטו צללי ערב ,27,22,404,404.0,47,47.0,0.3533834586466165,0.5,3070000041
ref-mek.1.7.1.25-ref-mek.1.7.1.48,ref-y.2.3.9.4.2.200-ref-y.2.3.9.4.2.220,19957,20093,ref-mek.1.7.1.25,ref-mek.1.7.1.48,1369911,1370021,ref-y.2.3.9.4.2.200,ref-y.2.3.9.4.2.220,סף כלי ואת הסיפים ואת המזמרות ואת המזרקות מאן דאמר סף אסקופה בתתם ספם את סיפיי מאן דאמר כלי ניחא דכתיב,סף כלי ואת הסיפים ואת המזמרות ואת המזרקות מאן דאמר סף אסקופה בתתם ספם את סיפיי מאן דאמר כלי ניחא דכתיב,24,21,451,451.0,48,48.0,0.0,0.0,3070000042
ref-mek.1.7.1.113-ref-mek.1.7.1.128,ref-y.2.3.9.4.2.166-ref-y.2.3.9.4.2.181,20440,20533,ref-mek.1.7.1.113,ref-mek.1.7.1.128,1369736,1369830,ref-y.2.3.9.4.2.166,ref-y.2.3.9.4.2.181,שלש מזבחות היו לאבותינו במצרים משקוף ושתי מזזות אית תניי תני ארבעה סף ומשקוף ושתי מזוזות,שלש מזבחות היו לאבותינו במצרים משקוף ושתי מזזות אית תניי תני ארבעה סף ומשקוף ושתי מזוזות,15,16,448,448.0,50,50.0,0.0,0.0,3070000043
ref-mek.1.7.2.5-ref-mek.1.7.2.12,ref-y.1.8.1.1.12.45-ref-y.1.8.1.1.12.54,20697,20738,ref-mek.1.7.2.5,ref-mek.1.7.2.12,697053,697111,ref-y.1.8.1.1.12.45,ref-y.1.8.1.1.12.54,לא גידים ולא עצמות ולא קרבים ולא טלפים ,לא יקדשו לא בגידיו ולא בעצמיו ולא בקרניו ולא בטלפיו ,8,10,233,233.0,52,52.0,0.36538461538461536,0.4285714285714286,3070000044
ref-mek.1.7.2.22-ref-mek.1.7.2.44,ref-y.2.1.2.1.10.63-ref-y.2.1.2.1.10.81,20784,20891,ref-mek.1.7.2.22,ref-mek.1.7.2.44,922259,922354,ref-y.2.1.2.1.10.63,ref-y.2.1.2.1.10.81,תותירו ממנו אני אקרא והנותר ממנו עד בקר באש תשרופו עד בקר למה נאמר לא בא הכתוב אלא ליתן תחום לבקרו של בקר ,"תותירו ממנו עד בוקר והנותר ממנו עד בוקר באש תשרופו אחר שני בקרים אחר בוקרו של ט""ו ואחר בוקרו ",23,19,291,291.0,53,53.0,0.44339622641509435,0.5789473684210527,3070000045
ref-mek.1.7.2.30-ref-mek.1.7.2.44,ref-y.2.3.7.10.2.13-ref-y.2.3.7.10.2.24,20825,20891,ref-mek.1.7.2.30,ref-mek.1.7.2.44,1344222,1344282,ref-y.2.3.7.10.2.13,ref-y.2.3.7.10.2.24,באש תשרופו עד בקר למה נאמר לא בא הכתוב אלא ליתן תחום לבקרו של בקר ,באש תשרופו אחר שני בקרים אחר בוקרו של ארבעה עשר ואחר בוקרו ,15,12,435,433.0,54,53.0,0.6060606060606061,0.75,3070000046
ref-mek.1.7.2.48-ref-mek.1.7.2.77,ref-y.1.1.1.1.35.49-ref-y.1.1.1.1.35.79,20903,21070,ref-mek.1.7.2.48,ref-mek.1.7.2.77,13830,13998,ref-y.1.1.1.1.35.49,ref-y.1.1.1.1.35.79,שאמרו חכמ' עד חצו' מצותן עד שיעלה עמוד השחר הקטר חלבים ואיברים ואכילת פסחים מצותן עד שיעלה עמוד השחר אנן תנינן אכילת פסחים אית דלא תני אכילת פסחים מאן תנא אכילת,שאמרו חכמ' עד חצו' מצותן עד שיעלה עמוד השחר הקטר חלבים ואיברים ואכילת פסחים מצותן עד שיעלה עמוד השחר אנן תנינן אכילת פסחים אית דלא תני אכילת פסחים מאן תנא אכילת,30,31,5,5.0,55,55.0,0.0,0.0,3070000047
ref-mek.1.7.2.48-ref-mek.1.7.2.82,ref-y.1.1.1.1.35.124-ref-y.1.1.1.1.35.172,20903,21096,ref-mek.1.7.2.48,ref-mek.1.7.2.82,14229,14469,ref-y.1.1.1.1.35.124,ref-y.1.1.1.1.35.172,כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם כן למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה כל הנאכלין ליום אחד קדשים קלים ואם כן למה אמרו חכמים וכו' אם את הוא אומר עד ושיעלה עמוד השחר הוא סבור שלא עלה עמוד השחר נמצא אוכל,כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם כן למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה כל הנאכלין ליום אחד קדשים קלים ואם כן למה אמרו חכמים וכו' אם את הוא אומר עד ושיעלה עמוד השחר הוא סבור שלא עלה עמוד השחר נמצא אוכל,35,21,21,21.0,56,56.0,0.0,0.0,3070000048
ref-mek.1.7.2.107-ref-mek.1.7.2.118,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.106,21242,21294,ref-mek.1.7.2.107,ref-mek.1.7.2.118,14071,14138,ref-y.1.1.1.1.35.93,ref-y.1.1.1.1.35.106,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן חצות,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן חצות,12,14,15,15.0,60,60.0,0.0,0.0,3070000049
ref-mek.1.7.2.108-ref-mek.1.7.2.117,ref-y.4.4.3.9.5.12-ref-y.4.4.3.9.5.26,21247,21289,ref-mek.1.7.2.108,ref-mek.1.7.2.117,3187810,3187872,ref-y.4.4.3.9.5.12,ref-y.4.4.3.9.5.26,ונאמר להלן לילה מה להלן עד חצות אף כאן עד ,ונאמר להלן שני מה להלן על פי שני' עדי' אף כאן על פי שני' עדי' ,10,15,1232,1220.0,62,60.0,0.4838709677419355,0.6363636363636364,3070000050
