baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-mek,baseOrder,grp-ref-m,dam-lev,jac,id
ref-m.1.1.9.5.11-ref-m.1.1.9.5.23,ref-mek.6.9.4.70-ref-mek.6.9.4.79,10793,10860,ref-m.1.1.9.5.11,ref-m.1.1.9.5.23,275047,275097,ref-mek.6.9.4.70,ref-mek.6.9.4.79,שנאמר ואהבת את ה' אלהיך בכל לבבך ובכל נפשך ובכל מאדך בכל לבבך ,אוכל וכל גבהי לבב קרואים תועבה שנאמר תועבת ה' כל ,13,10,236,236.0,14,14.0,0.7580645161290323,0.8125,1030000011
ref-m.1.1.9.5.123-ref-m.1.1.9.5.132,ref-mek.1.13.1.309-ref-mek.1.13.1.328,11390,11443,ref-m.1.1.9.5.123,ref-m.1.1.9.5.132,45680,45773,ref-mek.1.13.1.309,ref-mek.1.13.1.328,ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ה' ,אמר שלמה ה' אמר וכו' והיכן דבר כי בענן אראה על הכפורת כיוצא בדבר אתה אומר והיו לי אמר ה' ,10,20,64,64.0,18,15.0,0.6966292134831461,0.8666666666666667,1030000012
ref-m.1.1.9.5.123-ref-m.1.1.9.5.132,ref-mek.2.3.2.360-ref-mek.2.3.2.365,11390,11443,ref-m.1.1.9.5.123,ref-m.1.1.9.5.132,104494,104520,ref-mek.2.3.2.360,ref-mek.2.3.2.365,ה' אלהיו ויאמר ה' אין עמך,ה' אלהיו ויאמר ה' אין עמך,8,6,123,123.0,17,17.0,0.0,0.0,1030000013
ref-m.1.1.9.5.126-ref-m.1.1.9.5.133,ref-mek.3.1.1.374-ref-mek.3.1.1.383,11409,11447,ref-m.1.1.9.5.126,ref-m.1.1.9.5.133,135259,135308,ref-mek.3.1.1.374,ref-mek.3.1.1.383,עמכם ויאמרו לו יברכך ה' ואומר ה' עמך ,עמך והלא עם ה' הם שנאמר והם עמך ונחלתך ואומר ,8,10,136,136.0,22,15.0,0.7111111111111111,0.7,1030000014
ref-m.1.1.9.5.122-ref-m.1.1.9.5.137,ref-mek.3.1.1.849-ref-mek.3.1.1.863,11386,11468,ref-m.1.1.9.5.122,ref-m.1.1.9.5.137,137761,137845,ref-mek.3.1.1.849,ref-mek.3.1.1.863,גבור שנאמר האל הגדול הגבור והנורא ואומר ה' עזוז וגבור ה' גבור מלחמה ואומר ה',גבור שנאמר האל הגדול הגבור והנורא ואומר ה' עזוז וגבור ה' גבור מלחמה ואומר ה',16,15,140,140.0,15,15.0,0.0,0.0,1030000015
ref-m.1.1.9.5.123-ref-m.1.1.9.5.136,ref-mek.3.9.2.12-ref-mek.3.9.2.22,11390,11465,ref-m.1.1.9.5.123,ref-m.1.1.9.5.136,170054,170106,ref-mek.3.9.2.12,ref-mek.3.9.2.22,ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ה' עמך גבור החיל ואומר ,שנאמר ה' עוז לעמו יתן ה' יברך את עמו בשלום ואומר ,14,11,169,167.0,20,15.0,0.5714285714285714,0.8666666666666667,1030000016
ref-m.1.1.9.5.123-ref-m.1.1.9.5.132,ref-mek.5.3.9.118-ref-mek.5.3.10.4,11390,11443,ref-m.1.1.9.5.123,ref-m.1.1.9.5.132,225385,225418,ref-mek.5.3.9.118,ref-mek.5.3.10.4,ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ה' ,ואמר ברוך ה' ויאמר יתרו ברוך ה' ,10,7,210,209.0,19,15.0,0.52,0.7142857142857143,1030000017
ref-m.1.2.8.9.43-ref-m.1.2.8.9.51,ref-mek.2.3.2.283-ref-mek.2.3.2.299,24454,24497,ref-m.1.2.8.9.43,ref-m.1.2.8.9.51,104083,104168,ref-mek.2.3.2.283,ref-mek.2.3.2.299,אמר ארור הגבר אשר יבטח באדם ובתפלה מהו אומר ברוך הגבר אשר יבטח ביי והיה ה' מבטחו,אמר ארור הגבר אשר יבטח באדם ובתפלה מהו אומר ברוך הגבר אשר יבטח ביי והיה ה' מבטחו,9,17,121,121.0,23,23.0,0.0,0.0,1030000018
ref-m.1.4.1.1.3-ref-m.1.4.1.1.11,ref-mek.1.18.2.29-ref-mek.1.18.2.35,34855,34912,ref-m.1.4.1.1.3,ref-m.1.4.1.1.11,70237,70292,ref-mek.1.18.2.29,ref-mek.1.18.2.35,אינן כלאים זה בזה השעורים ושבולת שועל הכוסמין והשיפון ,המינין החטים והשעורים והכסומים ושבולת שועל ושיפון ,9,7,93,93.0,25,25.0,0.48148148148148145,0.5,1030000019
ref-m.1.5.1.4.53-ref-m.1.5.1.4.64,ref-mek.8.3.4.59-ref-mek.8.3.4.76,51167,51240,ref-m.1.5.1.4.53,ref-m.1.5.1.4.64,369566,369680,ref-mek.8.3.4.59,ref-mek.8.3.4.76,ערב שביעית שהוא נכנס בשביעית וקציר של שביעית שהוא יוצא למוצאי שביעית ,ערב שביעית שנכנסו לשביעית אין לי אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית ,12,18,427,427.0,28,26.0,0.5092592592592593,0.7692307692307692,1030000020
ref-m.1.5.1.4.40-ref-m.1.5.1.4.61,ref-mek.9.2.3.10-ref-mek.9.2.3.24,51098,51220,ref-m.1.5.1.4.40,ref-m.1.5.1.4.61,386633,386721,ref-mek.9.2.3.10,ref-mek.9.2.3.24,בחריש ובקציר תשבות שבות מחריש בשעת הקציר שבות מערב שביעית לשביעית אין לי אלא שהוא,בחריש ובקציר תשבות שבות מחריש בשעת הקציר שבות מערב שביעית לשביעית אין לי אלא שהוא,21,15,454,454.0,26,26.0,0.0,0.0,1030000021
ref-m.1.5.2.5.10-ref-m.1.5.2.5.18,ref-mek.8.3.4.59-ref-mek.8.3.4.76,52600,52661,ref-m.1.5.2.5.10,ref-m.1.5.2.5.18,369566,369680,ref-mek.8.3.4.59,ref-mek.8.3.4.76,ערב שביעית שנכנסו לשביעית ושל שביעית שיצאו למוצאי שביעית ,ערב שביעית שנכנסו לשביעית אין לי אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית ,9,18,428,427.0,29,29.0,0.4722222222222222,0.4444444444444444,1030000022
ref-m.1.6.3.6.21-ref-m.1.6.3.7.3,ref-mek.8.1.5.1-ref-mek.8.1.5.13,72579,72623,ref-m.1.6.3.6.21,ref-m.1.6.3.7.3,359451,359525,ref-mek.8.1.5.1,ref-mek.8.1.5.13,מלאתך ודמעך לא תאחר מלאתך אלו ביכורים הניטלין מהמלאה לא תאחר שלא תקדים,מלאתך ודמעך לא תאחר מלאתך אלו ביכורים הניטלין מהמלאה לא תאחר שלא תקדים,6,13,405,405.0,33,33.0,0.0,0.0,1030000023
ref-m.1.6.3.5.48-ref-m.1.6.3.6.6,ref-mek.8.1.5.27-ref-mek.8.1.5.40,72462,72510,ref-m.1.6.3.5.48,ref-m.1.6.3.6.6,359602,359687,ref-mek.8.1.5.27,ref-mek.8.1.5.40,קרא שם המקדים תרומה לבכורים מעשר ראשון לתרומה ,יקדים אם תרומה לביכורים אם ביכורים לתרומה אמרת יקדמו ביכורים שהם קרויין ארבעה שמות ,8,14,407,407.0,31,30.0,0.6867469879518072,0.6923076923076923,1030000024
ref-m.1.6.3.5.33-ref-m.1.6.3.6.5,ref-mek.8.1.5.52-ref-mek.8.1.5.70,72390,72502,ref-m.1.6.3.5.33,ref-m.1.6.3.6.5,359756,359864,ref-mek.8.1.5.52,ref-mek.8.1.5.70,קרא שם רבי אליעזר בן יעקב אומר האומר עשור מעשר זה עשוי תרומת מעשר עליו קרא שם המקדים תרומה לבכורים מעשר ראשון ,תרומה ודמע למעשר ראשון שאינו קרוי אלא שני שמות ויקדים מעשר ראשון שהוא קרוי שני שמות תרומה ומעשר למעשר ,22,19,410,410.0,30,30.0,0.6909090909090909,0.7727272727272727,1030000025
ref-m.1.6.3.7.2-ref-m.1.6.3.7.25,ref-mek.8.1.5.27-ref-mek.8.1.5.55,72607,72757,ref-m.1.6.3.7.2,ref-m.1.6.3.7.25,359602,359780,ref-mek.8.1.5.27,ref-mek.8.1.5.55,שיקדמו הבכורים לתרומה זה קרוי תרומה וראשית וזה קרוי תרומה וראשית אלא יקדמו בכורים לכל שהן בכורים לכל ותרומה לראשון שהיא ראשית ומעשר ראשון ,יקדים אם תרומה לביכורים אם ביכורים לתרומה אמרת יקדמו ביכורים שהם קרויין ארבעה שמות ראשית ביכורים תרומה ומלאה לתרומה שאינה קרויה אלא שלשה שמות ראשית תרומה ודמע למעשר ראשון ,24,29,408,407.0,35,35.0,0.5964912280701754,0.5454545454545454,1030000026
ref-m.1.6.3.6.1-ref-m.1.6.3.6.24,ref-mek.8.1.5.80-ref-mek.8.1.5.102,72469,72599,ref-m.1.6.3.6.1,ref-m.1.6.3.6.24,359907,360041,ref-mek.8.1.5.80,ref-mek.8.1.5.102,המקדים תרומה לבכורים מעשר ראשון לתרומה ומעשר שני לראשון אף על פי שהוא עובר בלא תעשה מה שעשה עשוי שנאמר מלאתך ודמעך לא תאחר ,"המקדים תרומה לביכורים ומעשר ראשון לתרומה ומעשר שני לראשון אע""פ שהוא עובר בלא תעשה מה שעשה עשוי תלמוד לומר מלאתך ודמעך לא תאחר ",24,23,412,412.0,32,30.0,0.11904761904761904,0.31818181818181823,1030000027
ref-m.1.6.5.1.35-ref-m.1.6.5.1.44,ref-mek.8.1.5.50-ref-mek.8.1.5.71,75731,75785,ref-m.1.6.5.1.35,ref-m.1.6.5.1.44,359745,359868,ref-mek.8.1.5.50,ref-mek.8.1.5.71,שמות ראשית תרומה ודמע למעשר ראשון שאינו קרוי אלא שני שמות ויקדים מעשר ראשון שהוא קרוי שני שמות תרומה ומעשר למעשר שני,שמות ראשית תרומה ודמע למעשר ראשון שאינו קרוי אלא שני שמות ויקדים מעשר ראשון שהוא קרוי שני שמות תרומה ומעשר למעשר שני,10,22,409,409.0,36,36.0,0.0,0.0,1030000028
ref-m.1.6.7.2.7-ref-m.1.6.7.2.24,ref-mek.7.15.3.230-ref-mek.7.15.3.243,78908,79013,ref-m.1.6.7.2.7,ref-m.1.6.7.2.24,343396,343468,ref-mek.7.15.3.230,ref-mek.7.15.3.243,אכלה תרומה משלמת את הקרן ואינה משלמת את החומש ומיתתה בשרפה נשאת לאחד מכל הפסולין משלמת קרן וחומש ,כל המשלם את הקרן חייב לשלם את החומש ושאינו משלם את הקרן פטור מחומש ,18,14,382,381.0,38,38.0,0.5154639175257731,0.8333333333333334,1030000029
ref-m.1.6.8.10.36-ref-m.1.6.8.10.50,ref-mek.8.2.6.70-ref-mek.8.2.6.79,82229,82299,ref-m.1.6.8.10.36,ref-m.1.6.8.10.50,365818,365866,ref-mek.8.2.6.70,ref-mek.8.2.6.79,ואטמאה ואם לא הרי אני מטמא את כולה רבי אליעזר אומר יטמא את כולה ואל ,יטמא אמר לו אביו הטמא יכול יטמא מפני שמצות עשה ,15,10,422,422.0,39,39.0,0.6323529411764706,0.8571428571428572,1030000030
ref-m.1.8.4.5.9-ref-m.1.8.4.5.16,ref-mek.4.4.1.41-ref-mek.4.4.1.64,103690,103736,ref-m.1.8.4.5.9,ref-m.1.8.4.5.16,189189,189306,ref-mek.4.4.1.41,ref-mek.4.4.1.64,הרי הפירות האלו נתונים לך במתנה חוזר ואומר ,ונתתיו לכם חזרתם שאלתם בשר ממלא מעיין הרי אני נותנו לכם מפני מה אני נותנו לכם שלא תאמרו אין ספק בידו ליתנו לנו אלא ,8,24,190,190.0,40,40.0,0.7913043478260869,0.8571428571428572,1030000031
ref-m.1.8.5.13.1-ref-m.1.8.5.13.4,ref-mek.2.6.3.313-ref-mek.2.6.3.318,107955,107983,ref-m.1.8.5.13.1,ref-m.1.8.5.13.4,124066,124109,ref-mek.2.6.3.313,ref-mek.2.6.3.318,השקיפה ממעון קדשך מן השמים ,בהשקפה שנאמר השקיפה ממעון קדשך מן השמים ,5,7,131,131.0,41,41.0,0.325,0.16666666666666663,1030000032
ref-m.1.8.5.13.15-ref-m.1.8.5.13.24,ref-mek.2.6.3.313-ref-mek.2.6.3.324,108030,108080,ref-m.1.8.5.13.15,ref-m.1.8.5.13.24,124066,124131,ref-mek.2.6.3.313,ref-mek.2.6.3.324,השקיפה ממעון קדשך מן השמים וברך את עמך את ישראל ,בהשקפה שנאמר השקיפה ממעון קדשך מן השמים וברך את עמך את ישראל ,10,12,132,131.0,42,42.0,0.21311475409836064,0.09999999999999998,1030000033
ref-m.1.9.1.1.5-ref-m.1.9.1.1.10,ref-mek.1.9.1.32-ref-mek.1.9.1.37,108540,108587,ref-m.1.9.1.1.5,ref-m.1.9.1.1.10,29079,29126,ref-mek.1.9.1.32,ref-mek.1.9.1.37,החטים והשעורים והכוסמין ושבולת שועל ושיפון ,החטים והשעורים והכוסמים ושבולת שועל ושיפון ,6,6,36,36.0,43,43.0,0.023255813953488372,0.0,1030000034
ref-m.1.9.1.1.5-ref-m.1.9.1.1.10,ref-mek.1.18.2.30-ref-mek.1.18.2.35,108540,108587,ref-m.1.9.1.1.5,ref-m.1.9.1.1.10,70245,70292,ref-mek.1.18.2.30,ref-mek.1.18.2.35,החטים והשעורים והכוסמין ושבולת שועל ושיפון ,החטים והשעורים והכסומים ושבולת שועל ושיפון ,6,6,94,93.0,44,43.0,0.046511627906976744,0.0,1030000035
ref-m.1.9.1.4.15-ref-m.1.9.1.4.20,ref-mek.1.11.3.104-ref-mek.1.11.3.109,109295,109347,ref-m.1.9.1.4.15,ref-m.1.9.1.4.20,39424,39475,ref-mek.1.11.3.104,ref-mek.1.11.3.109,בתבואה הסופגנין והדובשנין והאסקריטין וחלת המשרת ,ומביא האספגנין והדובשנין והאסקריטין וחלות משרת ,6,6,50,50.0,45,45.0,0.16666666666666666,0.6666666666666667,1030000036
ref-m.1.11.1.1.2-ref-m.1.11.1.1.13,ref-mek.8.4.7.38-ref-mek.8.4.7.45,121121,121197,ref-m.1.11.1.1.2,ref-m.1.11.1.1.13,375931,375979,ref-mek.8.4.7.38,ref-mek.8.4.7.45,מביאין וקורין ואלו מביאין ואין קורין אשר תביא,מביאין וקורין ואלו מביאין ואין קורין אשר תביא,10,6,435,435.0,46,46.0,0.0,0.0,1030000037
ref-m.1.11.1.1.2-ref-m.1.11.1.1.11,ref-mek.8.4.7.82-ref-mek.8.4.7.87,121121,121183,ref-m.1.11.1.1.2,ref-m.1.11.1.1.11,376202,376241,ref-mek.8.4.7.82,ref-mek.8.4.7.87,מביאין בכורים וקורין מביאין ולא קורין ויש שאינן מביאין אלו ,מביאין וקורין ואלו מביאין ואין קורין ,10,6,437,437.0,47,46.0,0.5254237288135594,0.5,1030000038
ref-m.1.11.1.4.8-ref-m.1.11.1.4.17,ref-mek.3.10.1.105-ref-mek.3.10.1.113,121873,121924,ref-m.1.11.1.4.8,ref-m.1.11.1.4.17,173761,173805,ref-mek.3.10.1.105,ref-mek.3.10.1.113,קורא שאינו יכול לומר אשר נשבע ה' לאבותינו לתת לנו ,נקראת נחלה שנאמר בארץ אשר ה' אלהיך נותן לך ,10,9,175,175.0,50,49.0,0.62,0.8823529411764706,1030000039
ref-m.1.11.1.4.1-ref-m.1.11.1.4.12,ref-mek.8.4.7.35-ref-mek.8.4.7.44,121834,121898,ref-m.1.11.1.4.1,ref-m.1.11.1.4.12,375917,375974,ref-mek.8.4.7.35,ref-mek.8.4.7.44,אלו מביאין ולא קורין הגר מביא ואינו קורא שאינו יכול לומר אשר ,לאלו אלא אלו מביאין וקורין ואלו מביאין ואין קורין אשר ,12,10,434,434.0,49,49.0,0.5901639344262295,0.5555555555555556,1030000040
ref-m.1.11.1.4.31-ref-m.1.11.1.4.45,ref-mek.1.19.7.530-ref-mek.1.19.7.542,121998,122087,ref-m.1.11.1.4.31,ref-m.1.11.1.4.45,88752,88813,ref-mek.1.19.7.530,ref-mek.1.19.7.542,אבות ישראל וכשהוא בבית הכנסת אומר אלהי אבותיכם ואם היתה אמו מישראל אומר אלהי אבותינו ,ואם אומר אבינו העלה את אביו מיד הם אומרים להם אביכם מלך היה ,15,13,116,116.0,51,51.0,0.6823529411764706,0.75,1030000041
ref-m.1.11.1.9.11-ref-m.1.11.1.9.16,ref-mek.8.4.7.20-ref-mek.8.4.7.28,122919,122948,ref-m.1.11.1.9.11,ref-m.1.11.1.9.16,375841,375888,ref-mek.8.4.7.20,ref-mek.8.4.7.28,בכורי אדמתך תביא בית ה' אלהיך ,ביכורים משקין מנין תלמוד לומר תביא בית ה' אלהיך ,6,9,433,433.0,52,52.0,0.4375,0.5,1030000042
ref-m.1.11.3.2.27-ref-m.1.11.3.3.3,ref-mek.3.3.1.543-ref-mek.3.3.1.550,125689,125729,ref-m.1.11.3.2.27,ref-m.1.11.3.3.3,148415,148454,ref-mek.3.3.1.543,ref-mek.3.3.1.550,אל בית ה' אלהינו הקרובים מביאים התאנים ,אל ה' ויאר לנו אלהי אבי וארוממנהו אני ,7,8,152,152.0,53,53.0,0.6410256410256411,0.7,1030000043
ref-m.1.11.4.5.4-ref-m.1.11.4.5.34,ref-mek.6.8.1.54-ref-mek.6.8.1.99,128334,128490,ref-m.1.11.4.5.4,ref-m.1.11.4.5.34,266324,266545,ref-mek.6.8.1.54,ref-mek.6.8.1.99,לא לאנשים ולא לנשים אין חייבים לא על מכתו ולא על קללתו לא כאנשים ולא כנשים ואינו נערך לא כאנשים ולא כנשים ואם אמר הריני נזיר שזה לא איש ולא אשה ,לא חלק בין אשה לאיש אף מורא לא חלקו בין איש לאשה דברי ר' ישמעאל ר' יהודה בן בתירא אומר הרי הוא אומר איש אמו ואביו תיראו ואת שבתותי תשמורו מה שבת לא חלק בין איש לאשה וטומטום ואנדרוגינוס אף מורא לא תחלוק בין איש לאשה ,31,46,232,232.0,54,54.0,0.6883720930232559,0.8666666666666667,1030000044
ref-m.2.1.6.10.21-ref-m.2.1.7.1.22,ref-mek.9.1.6.35-ref-mek.9.1.6.47,136934,137056,ref-m.2.1.6.10.21,ref-m.2.1.7.1.22,384713,384776,ref-mek.9.1.6.35,ref-mek.9.1.6.47,האמורי כלל גדול אמרו בשבת כל השוכח עיקר שבת ועשה מלאכות הרבה בשבתות הרבה אינו חייב אלא חטאת אחת היודע עיקר שבת ועשה ,אומר כל המשמר את השבת כאלו עשה השבת שנאמר לעשות את השבת ר' ,23,13,453,453.0,55,55.0,0.6551724137931034,0.7894736842105263,1030000045
ref-m.2.1.9.3.10-ref-m.2.1.9.3.26,ref-mek.6.3.2.1-ref-mek.6.3.2.14,140179,140283,ref-m.2.1.9.3.10,ref-m.2.1.9.3.26,244715,244791,ref-mek.6.3.2.1,ref-mek.6.3.2.14,היו נכונים לשלשת ימים מנין שמרחיצין את המילה ביום השלישי שחל להיות בשבת שנאמר ויהי ביום השלישי ,והיו נכונים ליום השלישי זה יום ששי שבו נתנה תורה שנאמר כי ביום השלישי ,17,14,220,220.0,56,56.0,0.45263157894736844,0.75,1030000046
ref-m.2.1.10.4.8-ref-m.2.1.10.4.21,ref-mek.1.16.6.172-ref-mek.1.16.6.183,141948,142032,ref-m.2.1.10.4.8,ref-m.2.1.10.4.21,61545,61615,ref-mek.1.16.6.172,ref-mek.1.16.6.183,לאחריה ובא מעשה לפני חכמים ואמרו את שטבלו לפניה בנות חורין לאחריה,לאחריה ובא מעשה לפני חכמים ואמרו את שטבלו לפניה בנות חורין לאחריה,14,11,73,73.0,57,57.0,0.0,0.0,1030000047
ref-m.2.1.12.6.3-ref-m.2.1.13.1.8,ref-mek.9.1.4.195-ref-mek.9.1.4.205,145217,145342,ref-m.2.1.12.6.3,ref-m.2.1.13.1.8,383453,383505,ref-mek.9.1.4.195,ref-mek.9.1.4.205,אותיות בשתי העלמות אחת שחרית ואחת בין הערבים רבן גמליאל מחייב וחכמים פוטרין רבי אליעזר אומר האורג שלשה חוטין בתחלה ואחת ,אות אחת שחרית ואות אחת בין הערבים או שארג חוט אחד ,21,11,451,451.0,59,59.0,0.6583333333333333,0.8,1030000048
ref-m.2.2.6.9.23-ref-m.2.2.6.9.35,ref-mek.8.5.1.653-ref-mek.8.5.1.674,170245,170311,ref-m.2.2.6.9.23,ref-m.2.2.6.9.35,380405,380526,ref-mek.8.5.1.653,ref-mek.8.5.1.674,וזו לעצמה זו מותרת בפני עצמה וזו מותרת בפני עצמה רבי עקיבא אוסר ,שזה מותר בפני עצמו וזה מותר בפני עצמו הרי הן אסורים בבישול שאר איסורין שבתורה שזה אסור בפני עצמו וזה אסור בפני עצמו ,13,23,448,447.0,60,60.0,0.6293103448275862,0.7142857142857143,1030000049
ref-m.2.3.1.3.4-ref-m.2.3.1.3.12,ref-mek.1.18.2.372-ref-mek.1.18.2.382,179241,179295,ref-m.2.3.1.3.4,ref-m.2.3.1.3.12,72067,72134,ref-mek.1.18.2.372,ref-mek.1.18.2.382,בודקין אור ארבעה עשר ובארבעה עשר שחרית ובשעת הביעור ,בודקין את החמץ אור לארבעה עשר ובארבעה עשר בשחרית ובשעת הביעור ,9,11,98,98.0,61,61.0,0.16129032258064516,0.19999999999999996,1030000050
