baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-n,baseOrder,grp-ref-sifra,dam-lev,jac,id
ref-sifra.1.11.50-ref-sifra.1.11.62,ref-sifre-n.107.1.286-ref-sifre-n.107.1.292,2601,2662,ref-sifra.1.11.50,ref-sifra.1.11.62,147590,147623,ref-sifre-n.107.1.286,ref-sifre-n.107.1.292,וכשיצאו מן הכלל ללמד לא ללמד על עצמן יצאו אלא ללמד על הכלל ,ויצא מוצא מן הכלל ללמד על הכלל ,13,7,1008,1006.0,12,12.0,0.559322033898305,0.375,4050000011
ref-sifra.1.14.7-ref-sifra.1.14.19,ref-sifre-n.19.1.195-ref-sifre-n.19.1.202,3424,3498,ref-sifra.1.14.7,ref-sifra.1.14.19,30939,30988,ref-sifre-n.19.1.195,ref-sifre-n.19.1.202,הכלל לידון בדבר חדש ואי אתה יכל להחזירו לכללו עד שיחזירנו הכתוב לכללו ,בכלל ויצאה לידון בדבר החדש החזירה הכתוב לכלל ,13,8,239,237.0,13,13.0,0.5714285714285714,0.4545454545454546,4050000012
ref-sifra.1.14.7-ref-sifra.1.14.19,ref-sifre-n.37.1.145-ref-sifre-n.37.1.158,3424,3498,ref-sifra.1.14.7,ref-sifra.1.14.19,60659,60738,ref-sifre-n.37.1.145,ref-sifre-n.37.1.158,הכלל לידון בדבר חדש ואי אתה יכל להחזירו לכללו עד שיחזירנו הכתוב לכללו ,בכלל ויצא לדון בדבר החדש אי אתה יכול לההזירו לכללו עד שיחזירנו הכתוב לכללו ,13,14,645,645.0,14,13.0,0.13333333333333333,0.25,4050000013
ref-sifra.2.1-02.2.23-ref-sifra.2.1-02.3.10,ref-sifre-n.58.1.14-ref-sifre-n.58.1.26,7417,7528,ref-sifra.2.1-02.2.23,ref-sifra.2.1-02.3.10,81807,81873,ref-sifre-n.58.1.14,ref-sifre-n.58.1.26,אועד לך                                                         מיעט את אהרן מדברות הר סיני באהל מועד מהו אומר ,"מאהל מועד לאמר שומע אני מאהל מועד ממש ת""ל ונועדתי לך שם ודברתי ",68,13,761,760.0,17,15.0,0.8198198198198198,0.7647058823529411,4050000014
ref-sifra.2.1-01.12.22-ref-sifra.2.1-02.3.17,ref-sifre-n.58.1.199-ref-sifre-n.58.1.217,7218,7562,ref-sifra.2.1-01.12.22,ref-sifra.2.1-02.3.17,82706,82796,ref-sifre-n.58.1.199,ref-sifre-n.58.1.217,"דבר ה' את משה בהר סיני ואחת באהל מועד ויקרא אל משה וידבר אליו הרי י""ג מעוטים מיעט אהרן",דבר ה' את משה בהר סיני ואחת באהל מועד ויקרא אל משה וידבר,118,19,769,767.0,15,15.0,0.3488372093023256,0.23076923076923073,4050000015
ref-sifra.2.1-02.4.59-ref-sifra.2.1-02.4.74,ref-sifre-n.58.1.14-ref-sifre-n.58.1.21,7796,7855,ref-sifra.2.1-02.4.59,ref-sifra.2.1-02.4.74,81807,81846,ref-sifre-n.58.1.14,ref-sifre-n.58.1.21,באהל מועד מהו אומר     מיעט את אהרן מדברות אהל מועד אל משה ,מאהל מועד לאמר שומע אני מאהל מועד ממש ,16,8,760,760.0,21,19.0,0.4745762711864407,0.7272727272727273,4050000016
ref-sifra.2.1-02.4.32-ref-sifra.2.1-02.4.75,ref-sifre-n.58.1.113-ref-sifre-n.58.1.124,7708,7859,ref-sifra.2.1-02.4.32,ref-sifra.2.1-02.4.75,82321,82378,ref-sifre-n.58.1.113,ref-sifre-n.58.1.124,מיעט אהרן מכל דברות שבתורה א ובבא משה ש אהל מועד לדבר,מיעט אהרן מכל דברות שבתורה א ובבא משה ש אהל מועד לדבר,44,12,762,762.0,19,19.0,0.0,0.0,4050000017
ref-sifra.2.1-02.4.35-ref-sifra.2.1-02.4.77,ref-sifre-n.58.1.199-ref-sifre-n.58.1.213,7721,7871,ref-sifra.2.1-02.4.35,ref-sifra.2.1-02.4.77,82706,82775,ref-sifre-n.58.1.199,ref-sifre-n.58.1.213,מדברות ארץ מצרים בהר סיני מהו אומר            מיעט את אהרן מדברות הר סיני באהל מועד מהו אומר     מיעט את אהרן מדברות אהל מועד אל משה דבר ולא לאהרן ,דבר ה' את משה בהר סיני ואחת באהל מועד ויקרא אל משה וידבר אליו הרי ,43,15,768,764.0,20,19.0,0.673469387755102,0.5333333333333333,4050000018
ref-sifra.2.1-02.12.72-ref-sifra.2.1-02.12.83,ref-sifre-n.103.1.182-ref-sifre-n.103.1.195,9822,9884,ref-sifra.2.1-02.12.72,ref-sifra.2.1-02.12.83,140673,140739,ref-sifre-n.103.1.182,ref-sifre-n.103.1.195,כי לא יראני האדם וחי בחייהם אינם רואים אבל רואים הם במיתתם ,כי לא יראני האדם וחי כשהוא חי אינו רואה אבל רואה הוא בשעת מיתה ,12,14,987,986.0,23,23.0,0.3333333333333333,0.6153846153846154,4050000019
ref-sifra.2.1-02.12.105-ref-sifra.2.1-02.12.128,ref-sifre-n.103.1.147-ref-sifre-n.103.1.169,9957,10075,ref-sifra.2.1-02.12.105,ref-sifra.2.1-02.12.128,140487,140605,ref-sifre-n.103.1.147,ref-sifre-n.103.1.169,אלא כמוסיף על דבריו אדם כשמועו וחי אלו חיות הקודש מלאכי השרת ר' אלעזר בר' יוסי אומר לא שאינן רואים אלא אף שאינן,אלא כמוסיף על דבריו אדם כשמועו וחי אלו חיות הקודש מלאכי השרת ר' אלעזר בר' יוסי אומר לא שאינן רואים אלא אף שאינן,24,23,985,984.0,24,24.0,0.0,0.0,4050000020
ref-sifra.2.1-02.12.121-ref-sifra.2.1-02.12.132,ref-sifre-n.103.1.182-ref-sifre-n.103.1.190,10036,10095,ref-sifra.2.1-02.12.121,ref-sifra.2.1-02.12.132,140673,140715,ref-sifre-n.103.1.182,ref-sifre-n.103.1.190,כי לא יראני האדם וחי אף מלאכים שחיים חיי עולם אינם רואים ,כי לא יראני האדם וחי כשהוא חי אינו רואה ,12,9,986,986.0,26,24.0,0.38596491228070173,0.6363636363636364,4050000021
ref-sifra.2.2-00.1.13-ref-sifra.2.2-00.1.20,ref-sifre-n.8.1.385-ref-sifre-n.8.1.392,10846,10882,ref-sifra.2.2-00.1.13,ref-sifra.2.2-00.1.20,19429,19464,ref-sifre-n.8.1.385,ref-sifre-n.8.1.392,וכי איזה מדה מרובה מדת תנופה או מדת ,וכי איזה מדה מרובה מדת טובה או מדת ,8,8,73,72.0,27,27.0,0.08333333333333333,0.2857142857142857,4050000022
ref-sifra.2.2-00.3.35-ref-sifra.2.2-00.3.49,ref-sifre-n.108.1.66-ref-sifre-n.108.1.84,11984,12060,ref-sifra.2.2-00.3.35,ref-sifra.2.2-00.3.49,154836,154936,ref-sifre-n.108.1.66,ref-sifre-n.108.1.84,מה ישראל שלא בא בברית אלא בג' דברים במילה ובטבילה ובהרצאת קרבן אף הגרים כיוצא בהם אי מה ישראל,מה ישראל שלא בא בברית אלא בג' דברים במילה ובטבילה ובהרצאת קרבן אף הגרים כיוצא בהם אי מה ישראל,15,17,1030,1030.0,28,28.0,0.0,0.0,4050000023
ref-sifra.2.2-00.4.3-ref-sifra.2.2-00.4.16,ref-sifre-n.136.1.110-ref-sifre-n.136.1.135,12277,12345,ref-sifra.2.2-00.4.3,ref-sifra.2.2-00.4.16,245982,246124,ref-sifre-n.136.1.110,ref-sifre-n.136.1.135,קריבה שהיא לשום שמים ואחת קריבה שאינה לשום שמים דברים ד ותקרבון ותעמדון תחת ההר זו קריבה לשום שמים דברים א ותקרבון אלי כלכם זו קריבה שאינה לשום שמים דברים ד ותקרבון ותעמדון תחת ההר זו קריבה לשום שמים דברים א ותקרבון אלי כלכם זו קריבה,קריבה שהיא לשום שמים ואחת קריבה שאינה לשום שמים דברים ד ותקרבון ותעמדון תחת ההר זו קריבה לשום שמים דברים א ותקרבון אלי כלכם זו קריבה שאינה לשום שמים דברים ד ותקרבון ותעמדון תחת ההר זו קריבה לשום שמים דברים א ותקרבון אלי כלכם זו קריבה,14,26,1830,1830.0,30,30.0,0.0,0.0,4050000024
ref-sifra.2.2-00.5.11-ref-sifra.2.2-00.5.16,ref-sifre-n.143.3.305-ref-sifre-n.143.3.310,13111,13143,ref-sifra.2.2-00.5.11,ref-sifra.2.2-00.5.16,256858,256890,ref-sifre-n.143.3.305,ref-sifre-n.143.3.310,שלא ליתן פתחון פה למינים לרדות ,שלא ליתן פתחון פה למינים לרדות ,6,6,1945,1945.0,32,32.0,0.0,0.0,4050000025
ref-sifra.2.2-03.8.6-ref-sifra.2.2-03.8.18,ref-sifre-n.107.1.245-ref-sifre-n.107.1.263,16990,17058,ref-sifra.2.2-03.8.6,ref-sifra.2.2-03.8.18,147375,147481,ref-sifre-n.107.1.245,ref-sifre-n.107.1.263,שאינו מביא עולת חובה בכל יום מביא עולת בהמה נדבה ציבור שמביא עולת ,אני את עולת חובה הבאים ברגלים כשהוא אומר במועדיכם להביא את עולת חובה חובות הבאים ברגלים מביא את עולת ,13,19,1002,995.0,35,33.0,0.594059405940594,0.8,4050000026
ref-sifra.2.2-03.8.5-ref-sifra.2.2-03.8.24,ref-sifre-n.111.2.23-ref-sifre-n.111.2.46,16983,17088,ref-sifra.2.2-03.8.5,ref-sifra.2.2-03.8.24,161281,161404,ref-sifre-n.111.2.23,ref-sifre-n.111.2.46,היחיד שאינו מביא עולת חובה בכל יום מביא עולת בהמה נדבה ציבור שמביא עולת חובה בכל יום אינו דין שיביא ,אחד למה נאמר שהיה בדין ומה אם במקום שאין הצבור מביאים פר לעולה מביא פר לחטאת כאן שהצבור מביא פר לעולה אינו דין שמביא ,20,24,1113,1113.0,33,33.0,0.6324786324786325,0.65,4050000027
ref-sifra.2.2-03.8.5-ref-sifra.2.2-03.8.24,ref-sifre-n.111.2.71-ref-sifre-n.111.2.95,16983,17088,ref-sifra.2.2-03.8.5,ref-sifra.2.2-03.8.24,161534,161662,ref-sifre-n.111.2.71,ref-sifre-n.111.2.95,היחיד שאינו מביא עולת חובה בכל יום מביא עולת בהמה נדבה ציבור שמביא עולת חובה בכל יום אינו דין שיביא ,אחד למה נאמר שהיה בדין ומה אם במקום שאין הצבור מביא פר לעולה מביא ב' שעירים לחטאת כאן שהצבור מביא פר לעולה אינו דין שיביא ,20,25,1119,1119.0,34,33.0,0.6147540983606558,0.6818181818181819,4050000028
ref-sifra.2.2-03.9.33-ref-sifra.2.2-03.9.59,ref-sifre-n.107.1.245-ref-sifre-n.107.1.266,17413,17556,ref-sifra.2.2-03.9.33,ref-sifra.2.2-03.9.59,147375,147498,ref-sifre-n.107.1.245,ref-sifre-n.107.1.266,אני את עולת חובה הבאים ברגלים כשהוא אומר במועדיכם להביא את עולת חובה חובות הבאים ברגלים מביא את עולת חוב חובות הבאים,אני את עולת חובה הבאים ברגלים כשהוא אומר במועדיכם להביא את עולת חובה חובות הבאים ברגלים מביא את עולת חוב חובות הבאים,19,15,1001,1001.0,36,36.0,0.0,0.0,4050000029
ref-sifra.2.3-00.1.12-ref-sifra.2.3-00.1.27,ref-sifre-n.107.1.243-ref-sifre-n.107.1.264,17787,17867,ref-sifra.2.3-00.1.12,ref-sifra.2.3-00.1.27,147363,147485,ref-sifre-n.107.1.243,ref-sifre-n.107.1.264,אלו ומוציא אני את עולת חובה הבאים ברגלים כשהוא אומר במועדיכם להביא את עולת חובה חובות הבאים ברגלים מביא את עולת חוב,אלו ומוציא אני את עולת חובה הבאים ברגלים כשהוא אומר במועדיכם להביא את עולת חובה חובות הבאים ברגלים מביא את עולת חוב,16,15,995,995.0,38,38.0,0.0,0.0,4050000030
ref-sifra.2.3-00.4.4-ref-sifra.2.3-00.4.22,ref-sifre-n.117.2.563-ref-sifre-n.117.2.577,18286,18391,ref-sifra.2.3-00.4.4,ref-sifra.2.3-00.4.22,186825,186908,ref-sifre-n.117.2.563,ref-sifre-n.117.2.577,בעולה שאין קדושה חלה עליה בבעל מום קבוע תאמר בתמורה שקדושה חלה עליה בבעל מום קבוע הואיל וקדושה חלה ,וקדושה חלה על הביכורים וקדושה חלה על התרומה אם למדתי על התרומה שאין קדושה חלה ,19,15,1373,1370.0,40,40.0,0.5656565656565656,0.6153846153846154,4050000031
ref-sifra.2.3-00.5.8-ref-sifra.2.3-00.6.5,ref-sifre-n.77.1.88-ref-sifre-n.77.1.99,18520,18634,ref-sifra.2.3-00.5.8,ref-sifra.2.3-00.6.5,101549,101613,ref-sifre-n.77.1.88,ref-sifre-n.77.1.99,עולה ונאמר הבא שלמים מה עולה כל הפסולים האלו נוהגים בה אף שלמים כל הפסולים האלו נוהגים בהם  קל וחומר ומה אם עולה ,עולותיכם ועל זבחי שלמיכם מה עולות שלמים משל צבור אף שלמים עולות ,24,12,957,952.0,41,41.0,0.6902654867256637,0.8125,4050000032
ref-sifra.2.3-04.1.24-ref-sifra.2.3-04.1.33,ref-sifre-n.8.1.382-ref-sifre-n.8.1.392,21053,21099,ref-sifra.2.3-04.1.24,ref-sifra.2.3-04.1.33,19413,19464,ref-sifre-n.8.1.382,ref-sifre-n.8.1.392,צפון בבמה וכי איזה מדה מרובה מדת צפון או מדת ,לבעל דין לחלוק וכי איזה מדה מרובה מדת טובה או מדת ,10,11,72,72.0,42,42.0,0.32,0.5,4050000033
ref-sifra.2.3-04.3.5-ref-sifra.2.3-04.3.20,ref-sifre-n.107.1.243-ref-sifre-n.107.1.264,22039,22117,ref-sifra.2.3-04.3.5,ref-sifra.2.3-04.3.20,147363,147485,ref-sifre-n.107.1.243,ref-sifre-n.107.1.264,אלו ומוציא אני את עולת חובה הבאים ברגלים כשהוא אומר במועדיכם להביא את עולת חובה חובות הבאים ברגלים מביא את עולת חוב,אלו ומוציא אני את עולת חובה הבאים ברגלים כשהוא אומר במועדיכם להביא את עולת חובה חובות הבאים ברגלים מביא את עולת חוב,16,15,996,996.0,43,43.0,0.0,0.0,4050000034
ref-sifra.2.3-04.3.19-ref-sifra.2.3-04.3.29,ref-sifre-n.143.1.9-ref-sifre-n.143.1.21,22108,22161,ref-sifra.2.3-04.3.19,ref-sifra.2.3-04.3.29,254961,255024,ref-sifre-n.143.1.9,ref-sifre-n.143.1.21,עולת חובה מה עולת נדבה טעונה סמיכה אף עולת חובה טעונה ,לעולת הר סיני מה עולת הר סיני טעונה נסכים אף עולת התמיד יטעון ,11,13,1933,1931.0,45,43.0,0.43548387096774194,0.7,4050000035
ref-sifra.2.3-04.5.18-ref-sifra.2.3-04.5.30,ref-sifre-n.143.1.9-ref-sifre-n.143.1.21,22484,22546,ref-sifra.2.3-04.5.18,ref-sifra.2.3-04.5.30,254961,255024,ref-sifre-n.143.1.9,ref-sifre-n.143.1.21,עולה מן הצאן מה עולה מן הבקר טעונה סמיכה אף עולת הצאן טעונה ,לעולת הר סיני מה עולת הר סיני טעונה נסכים אף עולת התמיד יטעון ,13,13,1934,1931.0,46,46.0,0.41935483870967744,0.75,4050000036
ref-sifra.2.3-04.6.4-ref-sifra.2.3-04.6.12,ref-sifre-n.107.2.600-ref-sifre-n.107.2.607,22564,22622,ref-sifra.2.3-04.6.4,ref-sifra.2.3-04.6.12,150790,150827,ref-sifre-n.107.2.600,ref-sifre-n.107.2.607,בבן הבקר שנתרבה בנסכים תאמר בבן הצאן שנתמעט בנסכים ,בן בקר טעון נסכים ובן צאן טעון נסכים ,9,8,1015,1015.0,47,47.0,0.45098039215686275,0.8181818181818181,4050000037
ref-sifra.2.4-00.2.25-ref-sifra.2.4-00.2.31,ref-sifre-n.116.1.133-ref-sifre-n.116.1.142,24044,24083,ref-sifra.2.4-00.2.25,ref-sifra.2.4-00.2.31,178357,178411,ref-sifre-n.116.1.133,ref-sifre-n.116.1.142,שנאמר ואתה ובניך אתך תשמרו את כהנתכם ,שנאמר קדשי בזית ואתה ובניך אתך תשאו את עון כהונתכם ,7,10,1199,1199.0,48,48.0,0.3333333333333333,0.5,4050000038
ref-sifra.2.4-00.2.25-ref-sifra.2.4-00.2.41,ref-sifre-n.116.1.162-ref-sifre-n.116.1.173,24044,24140,ref-sifra.2.4-00.2.25,ref-sifra.2.4-00.2.41,178506,178569,ref-sifre-n.116.1.162,ref-sifre-n.116.1.173,כשהוא אומר אתה ובניך אתך תשאו את עוון כהונתכם לכל דבר המזבח,כשהוא אומר אתה ובניך אתך תשאו את עוון כהונתכם לכל דבר המזבח,14,12,1200,1200.0,49,49.0,0.0,0.0,4050000039
ref-sifra.2.4-00.2.26-ref-sifra.2.4-00.2.34,ref-sifre-n.116.2.20-ref-sifre-n.116.2.28,24051,24099,ref-sifra.2.4-00.2.26,ref-sifra.2.4-00.2.34,181628,181677,ref-sifre-n.116.2.20,ref-sifre-n.116.2.28,ואתה ובניך אתך תשמרו את כהנתכם לכל דבר המזבח ,ואתה ובניך אתך תשמרו את כהונתכם לכל דבר המזבח ,9,9,1267,1267.0,50,48.0,0.021739130434782608,0.0,4050000040
ref-sifra.2.4-00.3.49-ref-sifra.2.4-00.3.54,ref-sifre-n.44.1.149-ref-sifre-n.44.1.153,24456,24484,ref-sifra.2.4-00.3.49,ref-sifra.2.4-00.3.54,73955,73976,ref-sifre-n.44.1.149,ref-sifre-n.44.1.153,לפני ה' ואין השוחט לפני ה' ,לפני ה' מיתתן לפני ה' ,6,5,719,717.0,52,52.0,0.3333333333333333,0.5,4050000041
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.50,ref-sifre-n.10.1.196-ref-sifre-n.10.1.205,24790,24847,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.50,21732,21780,ref-sifre-n.10.1.196,ref-sifre-n.10.1.205,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן ,נאמר כאן עפר ונאמר להלן עפר מה עפר האמורה להלן ,10,10,81,79.0,53,53.0,0.3333333333333333,0.33333333333333337,4050000042
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-n.12.1.11-ref-sifre-n.12.1.27,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,23299,23390,ref-sifre-n.12.1.11,ref-sifre-n.12.1.27,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן שבועה ונאמר להלן שבועה מה שבועה האמורה להלן היא נשבעת מאליה אף שבועה האמורה כאן ,18,17,128,113.0,57,53.0,0.3978494623655914,0.6153846153846154,4050000043
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.61,ref-sifre-n.16.1.18-ref-sifre-n.16.1.36,24790,24907,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.61,27032,27127,ref-sifre-n.16.1.18,ref-sifre-n.16.1.36,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן בכהן כשר ובכלי ,נאמר כאן וכתב ונאמר להלן וכתב מה וכתב האמור להלן כשר בכל אדם אף וכתב האמור כאן כשר בכל ,21,19,211,183.0,72,53.0,0.3425925925925926,0.5384615384615384,4050000044
ref-sifra.2.4-00.4.42-ref-sifra.2.4-00.4.58,ref-sifre-n.22.1.193-ref-sifre-n.22.1.207,24795,24890,ref-sifra.2.4-00.4.42,ref-sifra.2.4-00.4.58,33512,33596,ref-sifre-n.22.1.193,ref-sifre-n.22.1.207,כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,כאן הפלאה ונאמר להלן הפלאה מה הפלאה האמורה להלן בנדר ובנדבה אף הפלאה האמורה כאן ,17,15,254,243.0,74,53.0,0.4318181818181818,0.6153846153846154,4050000045
ref-sifra.2.4-00.4.42-ref-sifra.2.4-00.4.58,ref-sifre-n.25.1.406-ref-sifre-n.25.1.420,24795,24890,ref-sifra.2.4-00.4.42,ref-sifra.2.4-00.4.58,41592,41666,ref-sifre-n.25.1.406,ref-sifre-n.25.1.420,כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,כאן פרוע ונאמר להלן פרוע מה פרוע האמור להלן גידול שער אף פרוע האמור כאן ,17,15,311,295.0,75,53.0,0.375,0.6153846153846154,4050000046
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,18,25,354,340.0,58,53.0,0.532258064516129,0.7222222222222222,4050000047
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-n.26.1.407-ref-sifre-n.26.1.423,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,45337,45423,ref-sifre-n.26.1.407,ref-sifre-n.26.1.423,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן אמו ונאמר להלן אמו מה אמו האמור להלן מטמא בנגעם ובזיבתם אף אמו האמור כאן ,18,17,419,406.0,59,53.0,0.3655913978494624,0.6428571428571428,4050000048
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-n.29.1.150-ref-sifre-n.29.1.168,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,48822,48924,ref-sifre-n.29.1.150,ref-sifre-n.29.1.168,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן שמיני ונאמר להלן שמיני מה שמיני האמור להלן הכשיר בו שמיני ומשמיני והלאה אף שמיני האמור כאן ,18,19,491,473.0,60,53.0,0.44,0.6428571428571428,4050000049
